Q28,BERT_topic_Q9,BERT_proba_Q9,BERT_topic_Q11,BERT_proba_Q11,BERT_topic_Q16,BERT_proba_Q16,BERT_topic_Q17,BERT_proba_Q17,BERT_topic_Q21,BERT_proba_Q21,BERT_topic_Q24,BERT_proba_Q24,BERT_topic_total,BERT_proba_total
25187,3.0,0.7669753928276213,0.0,0.33139991666719615,0.0,0.7471603151436544,0.0,0.405906727123942,,,,,1,0.23787930717447292
46607,0.0,0.17805429490558008,0.0,0.8258234546997737,,,,,,,,,1,0.5910342012681243
13278,0.0,0.6599094095286778,0.0,0.9200129212539385,0.0,0.6416844571222559,0.0,0.577396747567842,,,,,2,0.425389264583299
18128,2.0,0.568181044053883,0.0,0.7980942985683366,0.0,0.9374933896700486,0.0,0.46925996475196463,,,2.0,0.40527955759721457,0,0.3533955251420181
98787,1.0,0.5968367869501987,0.0,0.818391348242697,0.0,0.9361098166525447,0.0,1.0,1.0,0.6429393559513062,3.0,1.0,1,0.40230526557310486
33645,2.0,1.0,0.0,0.9116632123991153,0.0,0.9239813835223357,0.0,0.5432232492998972,,,2.0,0.1978294884308428,0,1.0
85492,4.0,0.31243299786396883,0.0,1.0,0.0,0.5131147208565807,0.0,0.5934478208819303,,,0.0,0.205440238649759,1,0.41594651764452195
78144,0.0,0.08748719677200985,0.0,0.6206930421935555,0.0,0.9393374905700341,0.0,0.717874115758099,,,,,0,0.42019470009225407
56294,4.0,1.0,0.0,0.9440740031810224,0.0,0.7877114458238382,2.0,0.37477745280915264,0.0,0.45680871774200765,2.0,0.2901237395324341,1,0.2829259144866077
84771,0.0,1.0,,,0.0,0.7110107982142773,1.0,0.3924855773424329,,,1.0,0.5954289768719011,2,0.39849730573396663
86090,3.0,0.10663234163223537,0.0,1.0,0.0,0.9323538726164085,0.0,1.0,,,0.0,0.22478128884586032,0,0.4759093151512284
9808,0.0,0.3516059475682224,0.0,0.8917688717819344,0.0,0.917372668586717,0.0,0.5222758671161337,,,0.0,0.24806213018294482,0,0.37445582129390775
49455,0.0,0.6690425096783124,0.0,0.950575568860823,0.0,1.0,2.0,1.0,0.0,0.6270909042550707,1.0,1.0,1,0.3763987395769749
56713,0.0,0.24134547349282404,0.0,1.0,0.0,1.0,0.0,0.5550093095037762,0.0,1.0,2.0,0.5306662105092803,1,0.4827237956679476
92817,2.0,0.5695962505525292,0.0,0.8412682359783735,0.0,0.8841196867721385,2.0,0.5301510606596787,,,2.0,0.532403023503984,0,0.4288958149887062
48962,0.0,0.3975081206074179,1.0,1.0,0.0,0.9623383066376178,2.0,0.40401339212824516,,,,,2,0.3272848762175759
49309,3.0,0.7327470428666666,0.0,0.9454727172004159,0.0,0.9542277863663341,0.0,0.5715376174915549,,,,,2,0.25414386979009373
31816,2.0,0.9122663653002898,0.0,1.0,0.0,0.9406704322789162,0.0,0.48752801161913145,,,1.0,0.645541432706368,2,0.3092907623806933
19923,4.0,0.8460225220545065,0.0,0.9463826067922892,0.0,0.9565051761783875,0.0,0.36450913367410254,0.0,1.0,3.0,1.0,1,0.44510893042029337
55209,1.0,0.24197821087023205,0.0,0.9805327522612121,0.0,0.9668722821983953,1.0,0.49746528217824054,,,3.0,1.0,1,0.43017162807549925
60219,2.0,1.0,,,0.0,0.9692262222572238,1.0,0.35655253648143465,,,,,0,0.7004378694924703
33855,3.0,0.8023561971184047,0.0,0.9046459593215066,0.0,0.7976182160214039,0.0,0.3086828986773389,,,2.0,0.4628184557534724,1,1.0
