case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact
3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,-1,0.0248782374419779,-1,0.10146799885142253,53,1.0
d292cf2d-0773-4452-8515-5b0e0752bdb4,-1,0.02344175843471414,-1,0.09877388320332367,9,0.38719842696905854
13822b1e-9ea7-426c-8d72-a8f061d7924a,23,0.1514325689795064,-1,0.02420826180964439,41,0.24258821543498038
9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,-1,0.022018745214257424,-1,0.05660387454773496,0,0.08722699710872134
a55bb562-0696-4665-8480-0ebd649f926d,66,1.0,-1,0.11212294029251327,63,1.0
54b2816b-2569-40de-890b-d097f6f038c6,4,0.042721428474490175,2,0.23719170103380358,2,0.4734503269706928
c2ac4193-ff3d-4bde-9641-12309a896394,5,0.02934456157318848,12,1.0,9,0.11037115857640768
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,-1,0.10327567510453972,0,0.020479959827916182,39,1.0
640a0ff5-afa1-4a31-9441-b4a37e32cfac,7,0.19818819511627836,-1,0.0722367276075216,1,0.5065734826624146
db8090f9-2c4a-45bd-a67c-977353397ed3,7,0.09916685443781506,-1,0.030753029499963398,-1,0.09618127736888672
feb74fb5-855a-4273-b8ad-5dc79be8b098,10,0.17345296347552033,15,0.43875109157055375,36,0.15539441775693638
8f7825bc-50e4-4313-8ad1-1837d483f903,8,0.07367340076025072,6,1.0,13,0.12569586453156795
34e7e0ef-e939-490f-af01-c05891314892,1,0.07206662349369486,8,0.07999489443050607,-1,0.11216304604108934
dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310,-1,0.029313042354230656,-1,0.20473922034645248,-1,0.06970332817617564
8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,25,0.09900084414609146,-1,0.010822418772425192,16,0.6406680214748273
ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,6,0.21707570457481898,1,1.0,-1,0.015751684122578144
d25d0e7c-de58-480b-88dc-80c67992943f,0,0.20879797573308148,11,0.12347535169082918,12,0.038224141967401176
b21e6a78-02d9-4230-93f9-a036b4290e22,37,1.0,14,0.7968189458407527,23,0.7139656721894009
c39a7c40-ba6b-41bb-85fb-791112ae7f29,-1,0.05794648241225075,-1,0.00904249057371872,-1,0.009864149068819288
0a7fdd93-7aa7-422c-a2f8-47091a08127b,-1,0.033072432866099497,-1,0.006653950833368626,32,0.10424393674477547
3d0a8fd5-8702-45b8-b002-1f4fd4042f38,-1,0.0015186234390443705,-1,0.015015011929647815,-1,0.02706132364019909
9ff8da52-9796-4600-8bfc-b1f2f22b00b6,47,0.12142998518646257,-1,0.05161539849812727,-1,0.021171518229074676
38cdf896-7e30-480c-a8ea-8ade1f3113e4,8,0.07717849905578651,6,0.04924767222720192,13,0.06778305226783411
716cf3c5-cd91-4707-add0-8ffcb2bf77e2,59,1.0,0,0.08212136568375862,-1,0.07736925909309166
