topic_top1,prob_top1,topic_top2,prob_top2,topic_top3,prob_top3,topic_top4,prob_top4,topic_top5,prob_top5,case_id
14,0.07919827042825633,62,0.016242453066198814,18,0.01025530064094011,10,0.007574896110296215,70,0.006879329075068294,c2ac4193-ff3d-4bde-9641-12309a896394
71,0.2333621979413227,87,0.04695267230847554,94,0.04541142929601298,82,0.04493900666696847,85,0.037724181679802,de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2
0,0.358903759653613,61,0.03213644877122853,48,0.028491200311519582,60,0.022890107116590515,64,0.020769535727997473,640a0ff5-afa1-4a31-9441-b4a37e32cfac
75,0.0715837602109345,95,0.06292640342902615,80,0.04891073755689216,79,0.047356697365869706,90,0.031380243138043065,db8090f9-2c4a-45bd-a67c-977353397ed3
44,0.12625556914341382,25,0.02613370206673784,63,0.020985366763174352,22,0.015338526356843265,52,0.015196357470971693,feb74fb5-855a-4273-b8ad-5dc79be8b098
7,1.0,52,2.452202565573004e-307,64,2.368878004024558e-307,20,2.219787344332124e-307,62,2.189576013614351e-307,8f7825bc-50e4-4313-8ad1-1837d483f903
1,0.09368523095451442,11,0.03668703188467399,31,0.029913842999952426,57,0.029912983320552113,13,0.02244886228123707,34e7e0ef-e939-490f-af01-c05891314892
0,0.0853270209911635,48,0.052610327423112016,5,0.03317053141019892,61,0.03188703867097116,60,0.02636779618490234,dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310
87,0.08608093476630867,78,0.0424756998174708,77,0.027706990528586998,82,0.019547206395160728,83,0.018879929482863617,8ec473a5-bbeb-47e1-b782-10ad4a5acbd5
3,0.4685710559709986,27,0.022833070463900266,67,0.02116674295098152,24,0.013124328365248341,36,0.012884140247194734,ee235d5c-5bf4-40a5-94da-9591ce9e1d6a
10,0.06147871255297449,29,0.013272523909507913,63,0.012445260510682598,47,0.011885972974965764,15,0.010148617749440626,d25d0e7c-de58-480b-88dc-80c67992943f
23,1.0,16,4.525159278143316e-307,19,3.668302782283127e-307,34,2.864417451701663e-307,26,2.256092515363257e-307,b21e6a78-02d9-4230-93f9-a036b4290e22
88,0.040179817119053406,73,0.03310014844862005,91,0.0294434465879954,84,0.02173336665375231,76,0.018743619725200472,c39a7c40-ba6b-41bb-85fb-791112ae7f29
1,0.3581645665066081,31,0.03468472947390126,21,0.026713145215663602,11,0.024984167297386076,57,0.02045209944651446,0a7fdd93-7aa7-422c-a2f8-47091a08127b
84,0.02978432653114754,88,0.0244746486070517,93,0.020402786895335225,90,0.020364648833922826,76,0.020073401619103374,3d0a8fd5-8702-45b8-b002-1f4fd4042f38
14,0.49487768799622467,62,0.023232640269789197,18,0.010078320784884291,10,0.008541988529932404,25,0.008317158411302861,9ff8da52-9796-4600-8bfc-b1f2f22b00b6
7,0.053846378919772016,62,0.011207564700050163,52,0.009544702658146807,5,0.00940856557652364,48,0.0088929447689539,38cdf896-7e30-480c-a8ea-8ade1f3113e4
37,0.27200410084270127,66,0.028685845926460323,17,0.02036365286070223,35,0.016362177699365106,47,0.015752796997965616,716cf3c5-cd91-4707-add0-8ffcb2bf77e2
83,0.19809882531055517,72,0.062381028178696264,87,0.04189730996161606,78,0.03184532455230459,85,0.0295359994098132,95c1638e-3cc5-4efb-9e3c-f1c64862c2e7
73,1.0,91,1.506886110971254e-307,76,9.931122264209628e-308,88,9.329043923112262e-308,92,6.076220699821518e-308,66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b
