s1_flesch_score,s2_flesch_score,s3_flesch_score,s4_flesch_score,s5_flesch_score,flesch_score,REF impact case study identifier
13.11,32.97,41.7,35.24,-11.1,33.28,3c54584b-5c70-4b2d-a90a-4cd28bac0e4d
24.78,35.17,45.25,35.31,45.35,39.16,d292cf2d-0773-4452-8515-5b0e0752bdb4
40.89,37.84,46.88,30.84,51.44,40.99,baf6d3df-a6c7-4c8c-b958-82768271d1d0
10.57,22.99,41.66,33.48,21.74,28.57,13822b1e-9ea7-426c-8d72-a8f061d7924a
1.97,27.59,37.1,34.6,12.43,27.86,9d4284f3-e9e8-4d8b-9f62-df68c52fdb35
8.5,7.12,11.78,3.33,49.28,10.33,a55bb562-0696-4665-8480-0ebd649f926d
17.37,20.45,53.27,29.99,36.69,31.92,54b2816b-2569-40de-890b-d097f6f038c6
34.8,36.73,43.9,31.75,36.39,37.84,c2ac4193-ff3d-4bde-9641-12309a896394
6.84,24.82,42.68,32.46,13.78,29.79,de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2
-0.57,24.92,33.31,34.39,1.97,31.51,640a0ff5-afa1-4a31-9441-b4a37e32cfac
22.28,30.8,52.76,30.43,-10.93,29.28,db8090f9-2c4a-45bd-a67c-977353397ed3
33.17,34.19,36.89,34.39,44.48,30.4,feb74fb5-855a-4273-b8ad-5dc79be8b098
32.02,34.29,62.54,34.63,31.68,37.74,8f7825bc-50e4-4313-8ad1-1837d483f903
6.51,26.54,57.57,26.37,26.51,29.38,34e7e0ef-e939-490f-af01-c05891314892
-1.92,20.15,38.42,32.36,26.0,26.54,dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310
33.88,39.0,76.01,40.92,4.85,47.01,8ec473a5-bbeb-47e1-b782-10ad4a5acbd5
4.65,7.39,33.2,15.88,17.0,19.2,ee235d5c-5bf4-40a5-94da-9591ce9e1d6a
18.69,22.79,41.4,29.82,43.59,21.74,d25d0e7c-de58-480b-88dc-80c67992943f
19.91,40.38,52.66,38.59,-5.72,35.31,b21e6a78-02d9-4230-93f9-a036b4290e22
22.79,25.53,42.21,27.59,42.41,25.02,c39a7c40-ba6b-41bb-85fb-791112ae7f29
-18.03,16.49,59.19,45.69,-92.63,37.94,0a7fdd93-7aa7-422c-a2f8-47091a08127b
35.41,21.67,46.37,31.04,51.58,36.83,3d0a8fd5-8702-45b8-b002-1f4fd4042f38
2.31,10.77,43.53,3.09,34.26,14.22,9ff8da52-9796-4600-8bfc-b1f2f22b00b6
11.18,26.68,45.86,28.61,17.71,28.67,38cdf896-7e30-480c-a8ea-8ade1f3113e4
10.74,36.73,50.73,30.54,41.4,37.94,7b5ab914-b25b-456f-be0e-29c7af68b2a8
32.57,31.82,50.43,35.47,41.87,37.1,524fb451-a8da-4bfe-95d7-176713daf242
21.57,29.28,42.98,23.6,22.21,30.7,716cf3c5-cd91-4707-add0-8ffcb2bf77e2
28.54,25.08,63.15,44.44,47.01,35.27,95c1638e-3cc5-4efb-9e3c-f1c64862c2e7
25.87,30.09,57.87,30.09,52.05,34.15,84dd9f99-be6b-4b8c-aeac-0ec32e7f2c93
16.49,17.0,44.1,38.76,42.17,31.11,66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b
21.57,42.21,54.9,37.74,46.44,45.05,550cc3bd-3e2e-4f52-8dd2-b82c3fc6ddd2
15.68,16.83,57.87,37.98,44.41,43.97,4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4
29.38,20.28,55.54,33.99,27.49,38.15,9ae98944-f9b3-48a9-81bd-778d8716860a
32.26,37.03,44.54,35.31,41.16,38.35,8683d219-0009-4ef5-94c6-394800b81094
22.58,26.64,52.05,43.16,24.54,38.05,73dbc3bb-1e89-40d3-bb77-8a51e505297e
21.57,26.54,51.55,43.06,24.03,37.84,b0cc817d-6c01-47db-ac53-ab369de00cb9
31.69,36.15,59.33,43.56,0.38,37.03,ca73bba6-6f7a-420e-a802-d4ae6e5ae610
26.85,25.93,31.28,40.99,25.69,33.54,eb97036f-d2c9-426f-b47e-a5d7a5540c02
18.18,31.01,45.22,35.91,34.52,42.0,dc566dca-0212-4073-8eca-53a4aaf7385c
2.82,7.66,46.44,27.96,10.8,17.23,11ed772d-1c8e-444f-8d78-ef3c8a3f8374
3.77,13.51,-3.49,28.47,-11.74,21.33,76865506-3810-4118-bdff-d032adedee42
2.28,26.03,27.72,38.76,-4.3,22.65,9457bbdf-5f50-4ab6-940c-ad995983f142
-16.17,31.85,63.05,30.43,28.7,33.85,e684b230-f53d-4bfd-be15-319ba3dfd9b3
11.79,15.48,36.66,41.94,26.51,31.65,dcd83434-243a-4fba-946d-ea6ae7c78a08
40.69,29.62,57.47,35.41,-29.58,29.28,acee75c2-a004-41d8-b1ab-6539d2fdba59
29.22,24.61,52.05,25.76,15.68,23.66,0b44de58-6b72-46db-b8f7-a7deedb64dde
20.89,21.84,76.72,44.68,46.13,39.77,82f400e7-a782-4e32-b9c7-65acd98b0d26
24.85,33.99,48.91,29.11,49.82,34.09,cc8c5369-343d-4238-ad8c-c94d5d6c4bd2
8.03,19.2,33.92,18.62,51.55,25.42,e719ce9c-79c9-4630-9b0f-7c83f0eb5fd5
23.93,47.12,53.78,41.23,26.4,41.8,51533bcb-1259-4e2d-8b20-7fc97ca3aea4
23.39,32.02,30.09,41.33,8.23,29.89,bc492faf-c647-49d6-8823-856357ec91c3
22.58,31.45,57.67,36.52,37.98,40.38,66a299d1-025f-4949-a466-6e30478023ac
2.82,25.83,47.08,36.52,29.62,33.14,b257ceca-c133-4bb7-9a5c-394f1223ed10
36.59,42.72,37.81,41.6,36.52,42.41,c79429f4-6681-4bfe-a99c-6ba66dc75e76
42.61,35.47,43.49,34.9,38.42,36.79,10ef4159-0909-48d1-9b3f-406c71c85e97
11.85,17.37,59.8,30.2,37.16,32.43,5c6ed1f9-399e-4a8e-817e-f54ddca594db
0.76,25.83,40.95,35.91,15.47,32.02,034093db-799d-4994-a26f-ed4391bdce3a
22.89,25.42,56.49,36.83,39.84,28.67,0d54d8d3-edde-4456-ade6-4b816fa20a4d
28.98,36.22,39.33,23.8,22.51,32.12,fd40a4bd-5735-43d8-9976-3dfecb18114c
20.72,28.88,39.23,35.41,10.57,37.54,dcf316cc-2925-4a1f-9658-64499c339a82
24.11,48.54,44.24,41.23,58.18,46.1,54a26ffe-7a12-4e66-bb68-a1f2e35ae05e
29.89,19.74,40.04,52.8,52.9,42.72,32b3fc45-7b52-453a-9e87-174be984ef7b
18.28,28.2,35.47,28.3,31.55,30.94,3cde462c-74cb-44c7-b60b-73ab3139d955
11.75,27.05,37.3,47.01,34.26,31.92,bfc8c081-b972-485d-a9d3-6eab0cefd6ca
38.92,39.77,50.06,42.11,51.24,43.63,191e0e4f-9522-4adb-afb2-7b8fdea78164
28.17,37.23,55.24,47.12,42.17,41.4,b2be1a2b-eaf7-410d-b37f-3ae7cc7922b7
27.11,32.83,26.67,36.42,19.53,34.26,a1483589-8654-4882-9c20-fd7ea428b399
-4.97,19.1,23.02,19.74,2.0,18.18,d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2
25.8,14.06,46.57,38.76,42.48,39.26,cbb82082-5a2c-40be-a26d-059a483573d2
24.07,25.93,43.09,24.82,43.49,32.33,9647567e-7bc1-4211-9a4c-91828c57b344
34.6,28.27,11.92,28.2,19.37,27.66,50651d08-7946-4aac-b25e-523707b728d6
-6.19,26.44,62.44,35.91,33.81,36.28,adc2f565-f3f3-4eed-8374-13a2f1132ec0
32.22,35.07,54.39,39.57,0.28,28.94,2c7280d1-899c-449b-9667-07c9f58d512a
29.01,37.84,71.51,45.59,9.35,34.76,4847f97b-9913-4ebb-82ec-1cdd8f6ea6ea
9.35,25.42,52.29,26.74,17.5,30.5,c37837a7-b8e3-4709-a4e3-5b6413e11532
23.16,28.27,36.45,26.34,4.24,19.37,99bcdcd0-0a31-470a-aa23-9b5853b7dc45
-13.77,7.08,46.13,21.77,-23.35,20.52,defb2569-8a65-45e6-8852-b3ef6b857db1
23.29,24.51,50.43,34.49,19.77,29.69,83bbd8a0-1ea8-48b1-8668-78b5115afe46
33.65,37.94,43.8,27.86,20.45,34.05,adcff1c6-5631-426f-88d9-c53239752e4c
31.62,30.6,35.54,39.87,-21.66,28.13,e5fe80d2-1622-4109-8816-cd4ea9c8996e
14.67,8.84,46.23,24.51,12.02,31.01,78814c74-a20a-4998-adbe-27cdeb2d4b0a
13.92,25.42,51.85,36.63,36.96,33.44,c289709d-00ad-4063-8b47-a82361a5085d
46.37,32.02,41.26,30.5,64.81,34.15,ce98917b-b941-4243-b358-fb18b25e43e5
42.61,23.6,49.11,31.25,27.52,29.99,7b9846d5-68b5-45ff-a961-f46a7040c047
39.87,24.82,50.53,29.59,39.7,36.49,114454de-86b5-44ff-be3c-1dc14ef27c4c
40.08,24.58,51.14,29.59,39.7,37.3,981f2299-3638-409a-8a9f-e80395b6da90
12.64,27.86,27.49,21.36,-24.6,8.98,45f72870-cc98-4631-876e-56688e26c7b2
28.03,23.66,38.82,21.02,-15.74,17.84,78e8f6d9-d52a-470e-9f81-11f93d7343b8
29.45,16.76,51.68,31.82,54.39,29.35,9cbe7ae6-f59b-4b04-bdd7-a9afaee10f93
44.03,24.17,34.83,30.7,28.5,28.13,26ddef5e-a2e5-4457-a8ef-780dbcde1e5a
10.23,33.99,67.25,26.54,41.4,39.16,22e8995b-b07f-4118-af45-3373d67b2ada
9.86,10.47,59.4,25.63,36.22,28.88,407180c5-2c92-4c3b-9a4b-63b0eaefd871
-13.16,22.42,41.16,18.76,32.8,33.68,6ee45471-fb24-4d7d-a678-779fa2b16760
15.65,33.28,50.53,27.15,27.08,31.82,9a2b1fdb-ca64-4a59-8e16-949f1a4e8704
37.23,27.15,52.66,41.63,39.94,39.47,94926fc6-279c-4956-aad2-c5081bb564f4
7.83,30.94,55.5,32.97,35.34,39.87,387247a9-632a-4eb5-8f10-0d70f5761d2f
46.51,14.43,30.57,31.14,49.31,28.37,4e78f46e-f6c2-4af9-be71-96787c7115be
39.47,38.15,59.6,32.67,52.76,41.7,d0bea122-b0d4-419d-b751-27f1368fb314
35.31,36.32,46.67,42.04,23.22,32.12,1fe83a6f-2e49-44e3-b7bf-0a823b32c267
33.07,33.48,19.33,44.58,51.95,41.9,bd1ae131-2066-4d0e-bb5c-10da8da9accc
38.15,19.6,36.83,33.14,37.91,32.33,513c2e7f-d3e2-4c1c-aa8d-d464be831a36
12.87,27.35,62.95,25.32,28.5,33.85,8a33d50d-b4a7-4cae-8e08-9858822e608a
14.63,28.67,53.58,36.32,22.17,35.57,d5fbd9e2-c053-426f-949f-fa1ceac5fabb
39.67,40.79,63.15,32.67,-36.8,32.43,e2f1d6f4-5979-4faa-82c5-7d4ae8b418f9
29.99,24.58,33.1,27.15,26.71,24.88,176d8575-398b-4ae2-8bdf-ac0e12c79021
26.81,20.92,39.43,29.08,32.83,31.82,24a378d5-cd2e-44e9-aa5b-5a6364b2056e
13.62,27.25,35.34,22.28,27.49,22.45,5cf0eeff-f082-4b17-b7d9-d74e317f5cd6
7.9,31.21,51.99,33.48,34.93,31.41,91ef06b4-80ba-4ac2-833d-8375f53911f8
14.26,41.6,58.58,30.94,24.37,38.45,6f279a0d-d2f4-49c7-83f1-3c245f25efdc
15.34,25.05,44.2,32.26,44.51,40.38,67fc5803-a446-4f9a-802a-01c4bd11d3ec
14.33,38.55,53.17,36.83,64.17,40.08,00012743-f42d-4f84-85cb-50340db92428
27.86,29.28,37.1,32.57,11.78,26.81,5e249374-aade-4127-b5bc-4e5ea8996dea
23.29,26.44,42.68,34.19,24.61,27.76,c825b2b8-6bf2-4a8e-b598-aeb1c127ac75
21.94,27.66,26.1,35.0,14.66,22.24,a210df71-70c3-4a6e-93b4-4320437e3ece
23.8,17.47,21.3,20.55,20.18,21.33,607d5cd6-8b98-4f72-a12d-b8d127714ad9
29.48,37.84,33.1,34.39,19.71,38.76,663920cc-a146-4053-88af-9e3f753352b0
20.72,24.0,64.37,33.17,47.89,24.48,d87b067b-405a-4de2-9628-43c634c31070
14.26,31.11,39.63,36.12,48.2,33.14,99501bc0-8a9e-49e6-bdbb-ccceb9370f38
28.71,36.97,50.63,44.98,2.65,40.18,ab0b8736-a30c-4aa6-82d9-82a7acb58648
19.37,36.42,56.76,42.11,52.87,43.32,2265b62b-b772-497c-845a-9dc881333c10
23.73,31.01,71.82,41.29,45.32,43.83,acf48714-b559-41b4-9567-6c7ee6eac503
34.6,19.4,43.19,38.25,-62.34,25.69,c9acc693-9f69-4953-aba3-80fb8840efe1
3.97,32.06,57.87,47.72,-6.06,40.08,62d76d32-d82a-4baf-95a2-0ea46340e035
20.05,29.79,34.43,35.2,46.88,27.96,a8149b37-5c55-4945-bf5f-95ba79fd5fa3
-22.57,-0.78,24.64,14.73,-5.68,10.74,9bdfb437-22f1-4134-9104-aca3e007fde3
20.31,26.95,60.58,22.79,48.91,29.08,4ef2561e-aa36-4b18-8894-abb1f0d394f0
31.31,38.66,47.18,25.42,15.78,32.33,38b023b7-53fd-429a-8769-6ffa8bf4c62a
16.7,34.39,59.13,33.68,34.12,36.63,f50552df-7cbf-4fdb-8a17-6aeb5d1a9798
28.0,29.38,47.18,50.06,62.95,36.28,c9997a17-c3f8-45bf-a5cc-72732c93fe09
31.75,31.45,61.97,40.18,50.63,39.77,4eec3a35-0a47-4c02-90e5-b62e7da95141
41.03,23.09,60.51,47.42,54.9,42.41,cce9b8c4-b966-44c5-9164-a3ea75e2f50f
35.68,34.9,30.67,48.23,-10.53,33.54,0c0036d0-5365-4e05-99c8-67464bcd7a00
29.72,46.51,32.83,23.6,-11.58,33.04,88cc49e3-0988-4cff-b693-0888a6bceee5
-1.62,31.62,36.15,36.49,34.12,30.46,492e40e6-a66a-4096-b64e-151011977692
8.84,44.68,41.97,37.23,6.4,33.75,50f99e53-dbd5-4412-b388-5c6153dfa686
28.0,22.62,52.66,49.59,16.79,38.55,32ef336d-b633-4d71-8398-a7ee3b99d519
31.55,22.38,50.84,49.28,9.99,37.74,2885972f-52e8-4fd9-ad48-bfa7ff48def9
31.01,29.59,48.3,37.54,29.99,31.82,dca41c27-21d3-4932-bb72-cb43a89ea9b1
-4.36,34.7,61.22,30.33,39.74,37.44,0a5b643c-665d-4ff7-831c-e4251c624cca
-6.6,31.62,39.84,27.66,1.5,22.34,351a190a-d979-4eff-985d-612c7a5c5187
25.08,39.16,45.52,36.22,0.76,32.02,161319b3-c835-413e-b796-87ddd14e6e11
17.88,7.79,48.91,19.71,35.23,24.68,fad34a07-6a5f-440a-9f78-f72fb5ef9f9d
35.68,46.81,39.23,35.2,-56.72,24.07,18998470-002e-4ab1-9828-40b5bb7d1ecc
7.69,11.79,1.6,18.12,31.17,6.34,e13294bb-f3b7-45e6-9718-8fce8e16bd03
19.26,23.05,44.64,37.64,23.05,33.75,4cbd9054-d0a0-4563-8c1c-1ecfcb78dc80
21.02,26.85,36.66,35.71,-49.48,16.52,acf019c7-b442-4f20-8072-5dd0b4a32dc5
32.02,23.05,33.41,29.79,41.46,34.56,74983007-609b-4d67-a741-2ae40849e858
13.48,20.62,44.81,28.2,51.58,29.59,547c0426-db7d-4c91-91bf-e7420ae5a181
-6.33,21.43,21.13,38.15,20.35,21.43,8437bee3-2fc9-4564-8e85-5fbf073ecf99
-10.9,10.94,22.11,36.63,-8.5,16.83,b52508f7-5257-45f9-b627-babafd80cadc
16.02,19.94,50.33,33.38,-31.54,30.6,221aea2e-7d38-4f62-8f1e-2645cc139d4c
14.33,28.77,62.14,26.98,51.38,27.45,3b4a8324-bc29-47b0-ad90-fe51b70fd80c
13.11,18.18,45.22,24.92,20.18,22.45,0b0d8ef0-3ce1-4ab5-90d5-bf76b08a5777
21.26,35.91,54.69,27.76,42.38,33.85,ad3bc693-1cad-4b32-a662-f51c5d44d570
13.82,30.09,46.54,14.12,-58.44,15.31,369c8d3a-3200-4e59-81d1-e288560689ff
39.71,37.88,35.37,38.89,-41.12,28.88,0a927cf8-c14f-49d1-879a-9de87839b9a5
33.65,23.16,44.1,38.35,-131.2,32.02,52a42e12-dd1f-4728-9539-81c9acbb057f
23.02,26.95,41.97,31.92,-11.09,33.54,037907b1-89f6-4d68-916f-bc7a8d489550
11.04,18.69,54.18,28.27,23.93,31.21,d75381c5-dcc7-4fac-b8b1-4594e7cf02cd
14.02,22.75,47.89,28.88,34.32,24.07,10c676e9-7039-4efe-9ff7-c8adb0931a44
36.46,30.6,54.79,36.73,11.48,34.66,d598b7e0-2833-471b-aa96-2ee84d8e5e80
37.84,31.51,55.24,40.58,29.08,42.92,f6571138-0844-4a32-8992-127e12b3e422
-4.13,14.53,34.73,24.41,-146.42,22.75,8446d661-8c01-443c-8d98-67d1ab2309f8
36.83,36.73,50.87,43.16,33.2,41.09,7d9b7b53-1e72-4514-8fba-8189e500f85c
12.6,22.99,52.36,38.15,35.88,41.7,480666df-f7af-46e0-b650-7386e0ef0762
19.74,27.19,-1.46,19.57,48.43,23.9,bca4dacf-8633-4f45-bb31-1ab65b65cfd6
25.87,10.61,60.85,24.95,33.04,24.82,d80cdd73-d65b-4378-9ab1-7e6b2cbc33d7
36.22,9.35,33.61,40.89,15.88,24.98,313e31f0-21e5-429a-9482-0c8b84a9efb7
20.76,25.39,44.85,28.67,26.06,32.12,94c69c5d-cb2d-4887-97d3-a9cb4c6ba5e0
24.07,16.9,55.2,33.07,35.84,31.11,8ace7d86-9add-45ab-bd56-3f11f88ae2c7
10.94,24.92,38.72,31.65,29.18,28.06,d03b0656-1392-43d9-ad68-996cf919e893
34.73,35.91,63.05,33.78,23.46,40.18,09fb579d-8c02-430e-bf90-20d4464bd694
35.81,33.78,46.54,37.44,42.41,41.6,b63b762b-6b4b-4c1a-9cc5-0177be28a35b
-0.3,-6.69,50.63,12.03,25.9,21.16,b447512a-c5f7-4a50-b779-d8f2951f59af
37.3,31.11,51.95,30.94,32.57,29.69,542e76f9-6242-4b3e-ac9c-0335cf65c01f
18.99,29.79,45.12,36.93,34.02,35.07,71222532-5346-425f-8588-566ed07d8897
17.88,16.15,51.34,37.74,16.59,32.02,441ba9b5-6524-486f-9bff-d99a595f095f
-4.83,34.39,60.92,32.77,-16.35,31.41,ed505edf-aca3-478a-9279-477d22edb193
29.38,34.39,50.57,45.9,34.83,38.86,9a457ada-19ab-4bc6-a9a5-43c86d3ef691
52.02,32.02,59.09,47.83,-21.59,41.19,2ac3a540-e67a-4efc-8e63-90e5df01d14c
37.54,29.69,44.0,29.18,28.7,37.0,133d8432-5d29-4bb8-a285-46b3d5830e8c
37.51,35.2,69.07,46.0,4.24,36.59,a0ef2d4e-de99-4946-80e5-0215eb3a919e
23.7,26.07,45.56,31.45,28.8,34.9,a25af221-0172-4f08-a237-4c38d3a36722
17.07,23.6,37.4,36.93,35.57,30.91,8ac1ad2c-582c-40b8-ad2c-8c3b1eae4a26
2.15,24.61,60.51,42.85,41.26,40.28,5bee68c5-b7fe-4499-8bb6-8337d638f041
15.85,4.75,39.63,29.42,36.79,26.64,ae47b520-15e0-4c9f-bc4b-83c82846d781
0.79,29.08,41.77,24.45,-92.29,29.08,d83933ab-94cc-4ecc-bb15-ce8b060fb925
0.79,29.08,41.77,24.45,-92.29,29.08,d625f8ae-47e3-46c2-9034-d7322edd7dc8
15.0,30.6,47.35,28.98,56.72,35.78,95d45541-e934-43ac-b088-917bf5fc822b
11.08,23.19,31.72,18.62,26.58,20.76,b694d2da-27e3-4a08-bfa5-ef12a6fdef6f
6.51,19.4,48.3,37.13,49.21,33.34,0c00c5c0-748f-4904-a30e-9b298efa8180
36.89,38.05,45.62,44.07,28.74,41.6,2b067ecd-a947-4494-b075-7d0bbc737d6e
32.36,44.27,45.62,40.92,4.61,39.87,0a9f686a-5911-409d-b279-68fb4fd9b984
17.3,39.47,59.5,26.95,45.52,44.44,205008ec-6d2e-4246-9719-b5086cf4affa
24.11,32.02,49.52,45.49,-54.91,29.28,84735840-b03c-4310-885b-222196dcb401
8.88,22.58,59.4,20.65,-60.82,23.7,b862d945-df48-44f8-87c7-0b2f9802b5ef
25.53,43.02,41.87,44.75,18.82,37.71,06324c52-f450-428f-ba67-688742c68362
34.8,25.63,29.01,35.81,20.24,33.65,0359fa2f-bf14-472f-8ddb-f026bf602745
23.8,32.12,39.5,31.72,16.18,35.78,b0b695da-b7b7-4b8c-8c8f-57c5ee5a5e5d
11.65,28.98,54.08,31.51,24.95,28.13,4a475656-c641-4f5f-9227-812bd75c8bb2
-2.13,33.78,43.49,33.48,36.15,37.44,e39e501a-2da7-41df-884a-b7e949f020d2
32.83,20.35,36.55,30.94,36.49,32.94,e257a74b-f88e-406d-8abe-66bbb11d2daf
14.02,18.89,33.31,13.11,15.68,20.82,1ccec531-e298-4e55-9640-4c8f1237d673
28.94,36.49,55.91,38.45,46.33,45.46,39439e88-bc86-4be5-bdbe-0d9ced1e96e3
16.96,15.68,55.0,25.53,26.47,12.97,23ec0e2b-437d-4110-b6b5-1f2bd511710f
39.84,45.05,48.2,50.97,47.52,44.75,e0e5be06-e81c-41b1-b968-166f10bc1bf2
11.79,21.77,22.28,30.23,23.97,23.7,6b30a42f-7989-49bd-afb2-191c0c78cd60
4.85,27.05,16.93,21.67,19.94,20.62,ee11c59c-bd57-4da7-9200-f50fab360a72
12.77,26.4,54.69,26.03,8.03,26.71,903261ed-6c39-4976-be4c-2d73f1454fa6
25.42,11.99,46.23,29.93,28.4,30.6,18489c39-f492-4c91-bb7e-a86ed0597800
40.28,33.99,49.41,36.83,46.67,40.48,a5e56b36-a690-4c01-a536-a1d4b67ea080
-4.7,21.84,36.69,22.52,3.97,17.07,5c0a6d23-6451-45ba-9f90-32503f09f824
20.21,25.93,31.89,31.65,39.63,30.8,eef78d31-d466-45b6-8661-75ee67319d2e
14.26,9.22,52.15,37.74,35.03,35.47,e1379459-727c-4a04-8c7b-c8236feca1b3
9.9,18.83,42.78,26.68,-16.04,21.33,24fea85a-c9c2-47dc-add1-181e06d02098
32.57,42.21,57.37,34.6,44.03,33.85,9c5c4e62-d78f-4eac-b1b3-5313634487ee
10.23,12.9,53.78,33.28,-29.7,28.88,fc5a0383-5596-4d16-b255-302ef2d3706c
4.34,20.01,52.26,23.29,-37.48,19.5,a9954760-b02a-491a-a024-7ebdc7d3134d
28.17,35.41,56.96,30.74,30.77,40.28,97fa3ad4-614f-4fb1-af88-d5e2c80818f0
20.76,21.94,51.99,25.83,39.97,31.51,bd24750b-a87a-482b-89e3-fc96ae61d227
29.79,21.94,17.37,42.41,41.46,34.15,6acbc63f-eb39-467f-93bc-8d2fe9fd3fb7
20.65,45.66,55.5,45.35,7.93,38.72,75df16ab-c1d4-466d-97d0-ea6c196b68d2
7.73,24.31,53.78,32.77,41.66,31.41,8e4d1774-7d96-4402-94e0-dc163b713823
-0.68,29.89,46.84,42.11,52.46,36.89,a0040115-5bf2-4b65-85fa-3b10ba308624
32.63,25.32,49.31,28.88,40.45,32.94,756eebe6-793e-4f0e-9b95-a49e9585d288
20.08,40.89,54.9,28.17,11.99,35.98,d54c7e46-dee1-4228-8382-38f25f4e5b90
32.57,28.1,42.72,39.37,28.84,37.54,75fc426d-5585-40c3-ba60-621598d339bc
-12.11,22.89,41.97,27.56,28.2,33.65,7fca809c-8ab3-4c82-a29e-a06f2b0f27d6
-3.31,31.41,52.87,15.34,40.01,32.83,d66a6c67-20b9-4ec3-a269-992e17d5128f
18.69,27.52,44.2,29.99,17.0,27.72,f16caa88-c2c4-4f66-b404-c7222ced29ed
9.25,27.45,60.11,35.31,44.0,32.94,831c3947-bc02-4f65-bbf8-b82d8ea06d6b
8.67,14.09,22.31,15.2,35.84,18.15,c8f3a9ed-e119-4c21-a2bc-8ed27a881a04
18.89,32.83,43.8,30.8,44.1,35.37,3de76632-2b24-46bf-9db0-b52ffdeede47
25.93,26.14,44.41,27.39,23.8,32.12,626164ee-4a62-436f-9ae9-11eadc1a3457
12.09,12.77,50.23,28.47,30.57,22.75,ab71b7e7-118e-4ecd-a956-e5d38dd9c3c9
15.14,27.15,46.98,31.25,15.98,22.04,53bca173-4dd2-4212-b637-ca418dfc8ff9
35.0,34.9,35.95,34.9,-26.32,31.41,290ea45a-5dc3-492c-9b70-27d4bc3478ca
24.78,30.3,33.54,40.69,15.99,31.72,6b93cbc5-44f9-4efb-b142-6977794ddd54
35.31,30.91,-1.42,23.7,-6.97,21.02,fb5ed207-f4cb-4c88-b64e-6dcb8215fcb6
13.92,22.24,27.28,35.0,25.05,25.8,5188f69d-b401-4835-83f5-042833eefac8
27.15,32.12,40.01,46.61,58.18,45.56,24627bf9-11b2-4237-925d-9b4cd7a001e4
