id,ics_table_id,country,countries_specific_extracted,countries_union_extracted,countries_region_extracted,countries_global_extracted
429,75,MYT,False,False,True,True
430,75,NAM,False,False,True,True
431,75,NER,False,False,True,True
432,75,NGA,False,False,True,True
433,75,NLD,False,False,True,True
434,75,NOR,False,False,True,True
435,75,POL,False,False,True,True
436,75,PRT,False,False,True,True
437,75,REU,False,False,True,True
438,75,ROU,False,False,True,True
439,75,RWA,False,False,True,True
440,75,SDN,False,False,True,True
441,75,SEN,False,False,True,True
442,75,SHN,False,False,True,True
443,75,SLE,False,False,True,True
444,75,SMR,False,False,True,True
445,75,SOM,False,False,True,True
446,75,SRB,False,False,True,True
447,75,SSD,False,False,True,True
448,75,STP,False,False,True,True
449,75,SVK,False,False,True,True
450,75,SVN,False,False,True,True
451,75,SWE,False,False,True,True
452,75,SWZ,False,False,True,True
453,75,SYC,False,False,True,True
454,75,TCD,False,False,True,True
455,75,TGO,False,False,True,True
456,75,TUN,False,False,True,True
457,75,TZA,False,False,True,True
458,75,UGA,False,False,True,True
459,75,UKR,False,False,True,True
460,75,USA,True,False,False,True
461,75,VAT,False,False,True,True
462,75,ZAF,False,False,True,True
463,75,ZMB,False,False,True,True
464,75,ZWE,False,False,True,True
465,76,GBR,True,False,False,False
466,77,GBR,True,False,False,False
467,78,GBR,True,False,False,False
468,78,MLT,True,False,False,False
469,78,NZL,True,False,False,False
470,78,USA,True,False,False,False
471,79,,False,False,False,False
472,79,GBR,True,False,False,True
473,79,ITA,True,False,False,True
474,79,MEX,True,False,False,True
475,79,NLD,True,False,False,True
476,79,USA,True,False,False,True
477,80,,False,False,False,False
478,81,,False,False,False,False
479,82,KHM,True,False,False,False
480,82,MDV,True,False,False,False
481,82,MYS,True,False,False,False
482,82,PRY,True,False,False,False
483,83,GBR,True,False,False,False
484,83,USA,True,False,False,False
485,84,AUS,True,False,False,False
486,84,CAN,True,False,False,False
487,84,GBR,True,False,False,False
488,84,NZL,True,False,False,False
489,84,USA,True,False,False,False
490,85,GBR,True,False,False,False
491,86,,False,False,False,False
492,87,,False,False,False,False
493,88,GBR,True,False,False,False
494,88,IRL,True,False,False,False
495,89,,False,False,False,False
496,89,GBR,True,False,False,True
497,90,DEU,True,False,False,False
498,90,GBR,True,False,False,False
499,90,HUN,True,False,False,False
500,90,ITA,True,False,False,False
501,90,SRB,True,False,False,False
502,90,USA,True,False,False,False
503,91,GBR,True,False,False,False
504,92,,False,False,False,False
505,93,GBR,True,False,False,False
506,94,,False,False,False,False
507,95,,False,False,False,False
508,96,BEL,True,False,False,False
509,97,GBR,True,False,False,False
510,98,GBR,True,False,False,False
511,99,,False,False,False,False
512,100,GBR,True,False,False,False
513,101,BHR,True,False,False,False
514,101,GBR,True,False,False,False
515,101,SGP,True,False,False,False
516,102,GBR,True,False,False,False
517,103,ALB,False,False,True,False
518,103,AND,False,False,True,False
519,103,AUS,True,False,False,False
520,103,AUT,False,False,True,False
521,103,BEL,False,False,True,False
522,103,BGR,False,False,True,False
523,103,BIH,False,False,True,False
524,103,BLR,False,False,True,False
525,103,CHE,False,False,True,False
526,103,CZE,False,False,True,False
527,103,DEU,False,False,True,False
528,103,DNK,False,False,True,False
529,103,ESP,False,False,True,False
530,103,EST,False,False,True,False
531,103,FIN,False,False,True,False
532,103,FRA,False,False,True,False
533,103,GBR,True,False,True,False
534,103,GRC,False,False,True,False
535,103,HRV,False,False,True,False
536,103,HUN,False,False,True,False
537,103,IRL,False,False,True,False
538,103,ISL,False,False,True,False
539,103,ITA,False,False,True,False
540,103,LIE,False,False,True,False
541,103,LTU,False,False,True,False
542,103,LUX,False,False,True,False
543,103,LVA,False,False,True,False
544,103,MCO,False,False,True,False
545,103,MDA,False,False,True,False
546,103,MKD,False,False,True,False
547,103,MLT,False,False,True,False
548,103,MNE,False,False,True,False
549,103,NLD,False,False,True,False
550,103,NOR,False,False,True,False
551,103,POL,False,False,True,False
552,103,PRT,False,False,True,False
553,103,ROU,False,False,True,False
554,103,SMR,False,False,True,False
555,103,SRB,False,False,True,False
556,103,SVK,False,False,True,False
557,103,SVN,False,False,True,False
558,103,SWE,False,False,True,False
559,103,UKR,False,False,True,False
560,103,VAT,False,False,True,False
561,104,CAN,True,False,False,False
562,104,GBR,True,False,False,False
563,104,MLT,True,False,False,False
564,105,BRA,True,False,False,False
565,105,CHN,True,False,False,False
566,105,GBR,True,False,False,False
567,105,JPN,True,False,False,False
568,106,AUS,True,False,False,False
569,106,BEL,True,False,False,False
570,106,ESP,True,False,False,False
571,106,GBR,True,False,False,False
572,106,NLD,True,False,False,False
573,107,ALB,False,False,True,False
574,107,AND,False,False,True,False
575,107,AUS,True,False,False,False
576,107,AUT,False,False,True,False
577,107,BEL,False,False,True,False
578,107,BGR,False,False,True,False
579,107,BIH,False,False,True,False
580,107,BLR,False,False,True,False
581,107,CHE,False,False,True,False
582,107,CZE,False,False,True,False
583,107,DEU,False,False,True,False
584,107,DNK,False,False,True,False
585,107,ESP,False,False,True,False
586,107,EST,False,False,True,False
587,107,FIN,False,False,True,False
588,107,FRA,False,False,True,False
589,107,GBR,True,False,True,False
590,107,GRC,False,False,True,False
591,107,HRV,False,False,True,False
592,107,HUN,False,False,True,False
593,107,IRL,False,False,True,False
594,107,ISL,False,False,True,False
595,107,ITA,False,False,True,False
596,107,LIE,False,False,True,False
597,107,LTU,False,False,True,False
598,107,LUX,False,False,True,False
599,107,LVA,False,False,True,False
600,107,MCO,False,False,True,False
601,107,MDA,False,False,True,False
602,107,MKD,False,False,True,False
603,107,MLT,False,False,True,False
604,107,MNE,False,False,True,False
605,107,NLD,False,False,True,False
606,107,NOR,False,False,True,False
607,107,POL,False,False,True,False
608,107,PRT,False,False,True,False
609,107,ROU,False,False,True,False
610,107,SMR,False,False,True,False
611,107,SRB,False,False,True,False
612,107,SVK,False,False,True,False
613,107,SVN,False,False,True,False
614,107,SWE,False,False,True,False
615,107,UKR,False,False,True,False
616,107,USA,True,False,False,False
617,107,VAT,False,False,True,False
618,108,,False,False,False,False
619,109,GBR,True,False,False,False
620,110,GBR,True,False,False,False
621,111,USA,True,False,False,False
622,112,GBR,True,False,False,False
623,112,IRL,True,False,False,False
624,112,UGA,True,False,False,False
625,113,GBR,True,False,False,False
626,113,USA,True,False,False,False
627,114,GBR,True,False,False,False
628,114,USA,True,False,False,False
629,115,,False,False,False,False
630,115,AUT,False,True,False,True
631,115,BEL,False,True,False,True
632,115,BGR,False,True,False,True
633,115,CYP,False,True,False,True
634,115,CZE,False,True,False,True
635,115,DEU,False,True,False,True
636,115,DNK,False,True,False,True
637,115,ESP,False,True,False,True
638,115,EST,False,True,False,True
639,115,FIN,False,True,False,True
640,115,FRA,False,True,False,True
641,115,GBR,True,False,False,True
642,115,GRC,False,True,False,True
643,115,HRV,False,True,False,True
644,115,HUN,False,True,False,True
645,115,IRL,False,True,False,True
646,115,ITA,False,True,False,True
647,115,LTU,False,True,False,True
648,115,LUX,False,True,False,True
649,115,LVA,False,True,False,True
650,115,MLT,False,True,False,True
651,115,NLD,False,True,False,True
652,115,POL,False,True,False,True
653,115,PRT,False,True,False,True
654,115,ROU,False,True,False,True
655,115,SVK,False,True,False,True
656,115,SVN,False,True,False,True
657,115,SWE,False,True,False,True
658,116,GBR,True,False,False,False
659,117,,False,False,False,False
660,117,AUS,True,False,False,True
661,117,AUT,False,True,False,True
662,117,BEL,False,True,False,True
663,117,BGR,False,True,False,True
664,117,CYP,False,True,False,True
665,117,CZE,False,True,False,True
666,117,DEU,False,True,False,True
667,117,DNK,False,True,False,True
668,117,ESP,False,True,False,True
669,117,EST,False,True,False,True
670,117,FIN,False,True,False,True
671,117,FRA,False,True,False,True
672,117,GBR,True,False,False,True
673,117,GRC,False,True,False,True
674,117,HRV,False,True,False,True
675,117,HUN,False,True,False,True
676,117,IRL,False,True,False,True
677,117,ITA,False,True,False,True
678,117,LTU,False,True,False,True
679,117,LUX,False,True,False,True
680,117,LVA,False,True,False,True
681,117,MLT,False,True,False,True
682,117,NLD,False,True,False,True
683,117,NZL,True,False,False,True
684,117,POL,False,True,False,True
685,117,PRT,False,True,False,True
686,117,ROU,False,True,False,True
687,117,SVK,False,True,False,True
688,117,SVN,False,True,False,True
689,117,SWE,False,True,False,True
690,117,USA,True,False,False,True
691,118,GBR,True,False,False,False
692,118,USA,True,False,False,False
693,119,,False,False,False,False
694,120,,False,False,False,False
695,121,,False,False,False,False
696,122,GBR,True,False,False,False
697,122,USA,True,False,False,False
698,123,GBR,True,False,False,False
699,124,AFG,False,True,False,False
700,124,AGO,False,True,False,False
701,124,ALB,False,True,False,False
702,124,AND,False,True,False,False
703,124,ARE,False,True,False,False
704,124,ARG,False,True,False,False
705,124,ARM,False,True,False,False
706,124,ATG,False,True,False,False
707,124,AUS,False,True,False,False
708,124,AUT,False,True,False,False
709,124,AZE,False,True,False,False
710,124,BDI,False,True,False,False
711,124,BEL,False,True,False,False
712,124,BEN,False,True,False,False
