"funder"
"Office of Public Health Preparedness and Response"
"European Medicines Agency"
"HM Inspectorate of Constabulary"
"Hagley Museum and Library"
"The Greater London Authority"
"St. David’s Medical Foundation"
"Institute for the Study of Aegean Prehistory"
"MSCA Individual Fellowship"
"The Rural Partnership"
"ISEAL Alliance"
"Ministry of Foreign Affairs [TWN]"
"Danish Innovation Fund"
"Organix Foundation"
"Baily Thomas Charitable Fund"
"Fifth Framework Programme [EU]"
"Canadian Institutes for Health Research"
"Association Francais contre les Myopathies"
"National Osteoporosis Society"
"Alcon Eyecare"
"National Centre for Research Methods"
"Senhouse Museum Trust"
"Heritage Council"
"Ghent University"
"Interreg"
"LSE Covid Rapid Response Fund"
"Bank of England"
"Royal College of Surgeons in Edinburgh"
"TB-21 Academy"
"Essex County Council"
"Netherlands Organisation for Scientific Research"
"Ecological Consultancy"
"Birmingham Children's Hospital"
"Department of Culture Heritage and Gaeltacht Ireland"
"Prostate Cancer UK"
"Innovia Films"
"Kura Oncology"
"US Fish and Wildlife Service"
"Sir Halley Stewart Trust"
"British Lung Foundation"
"Resuscitation Council UK"
"M & W MACK"
"Prison Reform Trust"
"Higher Education Policy Institute [GBR]"
"Nicholas Institute of Sports Medicine and Athletic Trauma"
"Blackpool Council"
"University of Cambridge"
"Vocational Training Charitable Trust Foundation"
"Youth Sport Trust"
"University of Washington"
"Glasgow Centre for Population Health"
"SELEX"
"Sport Northern Ireland"
"Mexican Health Ministry"
"National Centre for the Replacement, Refinement and Reduction of Animals in Research"
"National Centre for the Replacement, Refinement, and Reduction of Animals in Research"
"Exeter City Council"
"Aerospace Technology Institute"
"Ecorys"
"Beryl Evetts and Robert Luff Animal Welfare Trust"
"Big Lottery"
"Netwton Fund"
"NIH USA"
"The Task Force for Global Health"
"HOYA surgical optics"
"British Institute for the Study of Iraq"
"Trading Standards"
"Adrian Piper Research Archive Foundation"
"The Jerusalem Trust"
"Children's Commissioner for England"
"Police Care UK"
"English Heritage"
"Swedish Research Council"
"Myositis Support Group"
"Rank Foundation"
"Mexican Government"
"Procter and Gamble"
"Knowledge Tranfer Partnership"
"Prince’s Countryside Fund"
"European Monitoring Centre for Drugs and Drug Addiction"
"Rosemere Cancer Foundation"
"Mars WALTHAM & Aquasense"
"Royal Academy of Engineering [GBR]"
"Greater London Authority"
"Novo Nordisk"
"Rugby Football Union"
"Arcadia"
"Stoke-on-Trent City Council"
"Department of Health and Public Health Agency [GBR]"
"National Centre for Replacement, Refinement and Reduction of Animals in Research"
"HERA"
"Lion Recovery Fund"
"North Lanarkshire Council"
"Countryside Council of Wales"
"Western Indian Ocean Marine Science Association"
"SE Asia Rainforest Research Partnership"
"National Coordinating Centre for Research Methodology"
"International Life Science Institute"
"Arthritis Research Campaign (now Versus Arthritis)"
"Emergent BioSolutions"
"Merck Sharp & Dohme"
"Philomathia Foundation"
"Saudi Basic Industries Corporation"
"Hull Primary Care Trust"
"Manchester United FC"
"CGIAR"
"Diabetes and Research (Cedar) Charity"
"Electricity North West"
"G4S"
"Hubbub"
"Moog Controls"
"Local Authorities of Liverpool City Region"
"Malone Society"
"SLAM Trustees"
"Danish Innovation Foundation"
"Natural Environment Research Council (NERC) (via ESPA)"
"Headstart Kernow"
"UK Foreign and Commonwealth Office"
"ECR Community"
"Swedish Red Cross"
"UK-India Education and Research Initiative"
"National Physical Laboratory"
"Bayer Healthcare"
"Prostate Cancer Research Foundation"
"Bayer AG"
"St Andrew’s Healthcare"
"University of Eotvos Lorand, Hungary"
"Wainwright Fund"
"World Health Organization [WHO]"
"ProVita Eurotech"
"Darwin Initiative"
"Institute for Fiscal Studies"
"HORIBA"
"Foundation for the Memory of the Shoah, Paris"
"Association for International Cancer Research"
"Brain Tumour Charity"
"Scottish Water"
"Museum-University Partnership Initiative"
"National Science Foundation [USA]"
"Aberdeenshire Council"
"Society for Applied Microbiology"
"Institute and Faculty of Actuaries"
"Honolulu Zoo"
"Cosmonio"
"SKF"
"Defense Threat Reduction Agency [USA]"
"Royal British Legion"
"EUROCONTROL"
"Alzheimer's Society"
"MRX Technologies"
"Public Safety Canada"
"Advanced Material Development"
"University of Chester"
"The Lipman-Miliband Trust"
"Innovative Vector Control Consortium"
"Evoqua Water Technologies"
"Google DeepMind"
"Gerda Henkel Stiftung"
"Chartered Society of Physiotherapy"
"British renal society"
"University of Stirling"
"European Centre for Disease Prevention and Control"
"Bristol Care Homes"
"Healthcare Brands International"
"ConFor"
"US Department of Defense"
"Food Standards Agency, NI"
"British Film Institute"
"IELTS Partners"
"Orchard Therapeutics"
"Public Health Agency Research and Development, NI"
"Breast Cancer Campaign"
"Institut fur Auslandsbeziehungen"
"Zimplats Holdings"
"University of Sheffield"
"Cure Parkinson's Trust"
"Berendel Foundation"
"Ivanplats Proprietary"
"London School Excellence Fund"
"EC Framework Projects"
"Centre 151"
"Qatar National Library"
"Symology"
"China National Arts Fund"
"German Federal Ministry of Health"
"National Institute for Health and Care Research [GBR]"
"New South Wales Department of Education, Australia"
"Rockwool International"
"University of East London"
"Money Advice Service"
"House of Lords"
"Augustus Foundation"
"Victoria and Albert Museum"
"Childrens Society"
"KnowledgePoint360 Group"
"Centers for Disease Control and Prevention [USA]"
"Tourism Respect"
"Welsh Government"
"Manchester City Council Public Health Team"
"OVE Arup & Partners"
"Crowe Clark Whitehill"
"Fieldstead and Company"
"Foras na Gaeilge"
"Horserace Betting Levy Board"
"Blue Marine Foundation"
"Financial Services Consumer Panel"
"Food Standards Agency Wales"
"Royal Docks Trusts"
"Podfo"
"Manchester City Council"
"Vienna Science and Technology Fund"
"Isaac Newton Trust"
"Australian Attorney-General's Department"
"Sussex Impact Acceleration Award"
"Sir Barry Jackson County Fund"
"Dawes Trust"
"Global Facility for Disaster Reduction and Recovery"
"AWE Technical Outreach Programme"
"Boeing United Kingdom"
"Ministry of Foreign Affairs [CHE]"
"Pfizer Animal Health"
"Robert Bosch Foundation"
"Scottish Salmon Company"
"Caja Madrid Foundation"
"Private Investors"
"Hertfordshire Police Crime Commissioner"
"Kennel Club Charitable Trust"
"Childbase Partnership"
"Highlands & Islands Enterprise"
"Heritage Protection Commission"
"The Racing Foundation"
"World Pheasant Association"
"Human Frontier Science Research Project"
"Fondation Beyeler"
"Department for Business Energy & Industrial Strategy"
"Movember"
"Innovation Voucher"
"British Triathlon Federation"
"The British Lung Foundation"
"Rosetree’s Trust"
"Scottish Funding Council SFC"
"Bill Sargent Trust"
"Global Challenge Research Fund [GBR]"
"British Broadcasting Corporation"
"Somerset County Council"
"Chiesi Farmaceutica SpA"
"Interreg Europe"
"Higher Education Academy Psychology Network"
"National Health Service, Blood & Transplant"
"Scottish Government Active Scotland Division"
"The Open Society European Policy Institute"
"University of Manchester"
"Rescon"
"Iberbibliotectas Grant"
"Garfield Weston Foundation"
"EAT"
"Wetlands International and Oak Foundation"
"Energy Technology Partnership (ETP)"
"Orphazyme"
"Stryker"
"ITF Sefarers Trust"
"US Embassy"
"Centre for British Teachers"
"St Luke’s College Foundation"
"UNITE the Union"
"Chafea"
"Pembrokeshire Coast National Park"
"US National Cancer Institute"
"Craft Council"
"Hull City Council"
"Shepherd Conservation Ltd"
"Canadian Social Sciences and Humanities Research Council"
"KPMG"
"Orient Global Foundation"
"National Academies of Sciences, Engineering, and Medicine [USA]"
"Prince Albert II of Monaco"
"Kidneys For Life Charity"
"Innovate UK [GBR]"
"IKEA Foundation"
"BSC International Holdings"
"OMNI Gynaecological Care"
"Arts Council of Ireland"
"Society for the Study of Addiction"
"Wildlife Conservation Society"
"World Agroforestry Centre"
"Public Health Northamptonshire"
"Ludwig Boltzmann Gesellschaft"
"Rutland County Council"
"University of Tubingen"
"Stillbirth and Neonatal Death Charity"
"Korea Institute for Energy Technology Evaluation and Planning"
"University Hospital Southampton"
"European Union Innovative Medicines Initiative (EU-IMI)"
"Micro-X"
"Northern Rock Foundation"
"Norsk Tipping"
"National Endowment for Science, Technology and the Arts [GBR]"
"Ministry of Science and Technology [CHN]"
"Royal College of Surgeons of England"
"Coventry and Warwickshire Local Enterprise Partnership"
"Rewilding Europe"
"Healthcare Quality Improvement Programme"
"Transport for London"
"Centre for the Protection of National Infrastructure [GBR]"
"Sussex Learning Network"
"FM Global"
"Children's Literature Association of America"
"Hulme Community Garden Centre"
"Royal Society [NZL]"
"GambleAware"
"Academy of Marketing"
"Legal Education Foundation"
"Norwegian Arts Council"
"STEPS Centre"
"Marks and Spencer"
"British Ecological Society"
"North East Museum's Hub"
"Southern Water Services"
"British Standards Institution"
"Mitsubishi Corporation"
"Fundació Institut Catali de I'Envelliment"
"Private Enterprise Development in Low-Income Countries"
"Research Grant"
"European Nuclear Science and Application Research 2"
"Jeunesses Musicales International"
"Office for Low Emission Vehicles and the South Eastern England Development Agency"
"Juvenile Diabetes Research Foundation"
"Strathclyde University"
"Bayer Pharma AG"
"European Financial Reporting Advisory Group"
"North Staffs Medical Institute"
"The Inspire Foundation"
"Alan Turin Institute"
"Burdett Trust for Nursing"
"European Federation of Pharmaceutical Industries and Associations"
"National Institute of Academic Anaesthesia and Obstetric Anaesthetists' Association"
"Portsmouth Aviation"
"Autism Education Trust"
"American Museum of Natural History"
"One North East"
"EPSRC, AHRC"
"Autism Speaks Foundation"
"Mid Nottinghamshire collaborative (NHS/Local Authorities) partnership"
"National Research Foundation (South Africa)"
"Solaris"
"Turkish Scientific and Technical Research Council"
"Philips Lighting"
"Teach First"
"Arts Humanities Research Council"
"OntoChem GmbH"
"UCB Pharma"
"Fight for sight"
"Naver Naver Corporation"
"Institute for Occupational Safety and Health"
"International Centre for Pension Management"
"Edinburgh University"
"Climate and Clean Air Coalition"
"Zoe Global"
"Healthcare Medical Trust"
"Joseph Roundtree Foundation"
"Institute of Chartered Accountants Scotland"
"West of England Local Enterprise Partnership"
"Ministry of Public Safety and Security [KOR]"
"Office of the Police and Crime Commissioner for Staffordshire"
"Prostate Research Campaign UK"
"Organisation for Economic Co-operation and Development [OECD]"
"World Wide Fund for Nature"
"Al Ansari Exchange"
"South Western Fish Producer Organisation"
"Plater Trust"
"Defence and Security Accelerator [GBR]"
"NIHR Imperial Biomedical Research Centre"
"REACT Engineering"
"CENSIS"
"School of the Art Institute Chicago Sullivan Galleries"
"University of Northampton"
"PUC Rio University"
"Enhanced Recovery After Surgery Society"
"Public Health Wales"
"Wrexham County Borough Council"
"Trinity College London"
"Epigenesys"
"Lister Institute of Preventive Medicine"
"Timber Research and Development Association"
"Bristol Myers Squibb"
"Department of Foreign Affairs [IRE]"
"Dr Mortimer & Theresa Sackler Foundation"
"European Union Aviation Safety Agency"
"Gilead Sciences Europe"
"National Museum of Ireland"
"Royal Holloway University of London"
"Norwegian Institute of Public Health"
"Arts Council England [GBR]"
"United Nations Economic and Social Commission for Western Asia"
"Wolverhampton City Primary Care Trust"
"The Urology Foundation"
"International Atomic Energy Agency"
"Chevron"
"UBS Optimus Foundation"
"Chartered Society of Physiotherapy Charitable Trust"
"Coventry and Rugby Clinical Commissioning Group"
"John Templeton World Charity Foundation"
"Social Tech Trust"
"ZimmerBiomet"
"US Food and Drug Administration"
"French Agency for Research on AIDS and Viral Hepatitis"
"Welsh Crucible"
"Centre Internationale de Recherches Médicales de Franceville"
"Nottingham Clinical Commissioning Group"
"National Roads Policing Operations, Intelligence and Investigation"
"The Tavistock Trust for Aphasia"
"Visit Wales"
"Tenovus Scotland"
"East Midlands Development Agency (EMDA)"
"Hildebrand Technologies"
"Irish Human Rights and Equality Commission"
"Logres Trust"
"John Simon Guggenheim Memorial Foundation"
"I-Net"
"Cancer Research UK (Catalyst Award)"
"Beijing Municipal Commission of Education"
"Committee for a Responsible Federal Budget (USA)"
"The Money Advice Service"
"Paul Mellon Foundation"
"Guy’s & St Thomas’"
"Certara"
"Actelion"
"NovartisPharmaceuticals"
"National Trust"
"CFA Society of the UK"
"Finnish Centre for Pensions"
"Royal College of Surgeons of Edinburgh"
"European Organisation for Research and Treatment of Cancer"
"Scottish Graduate School for Arts and Humanities (SGSAH)"
"Moorfields Eye Hospital Development Fund"
"Climate Central"
"Onassis Foundation"
"Bertarelli Foundation"
"Nova Scotia Gaming Corporation"
"Pearson"
"North West Regional Development Agency, European Regional Development Fund, Unilever, University of Liverpool"
"The Grimmitt Trust"
"International Paralympic Committee"
"The Michael J Fox Foundation"
"International Holocaust Remembrance Alliance"
"Ove Arup Foundation"
"Young Enterprise and Young Money"
"The Sustainable Trade Initiative [NLD]"
"Sugar Bureau"
"Wenner Gren Foundation for Anthropological Research"
"Colonial Williamsburg Foundation"
"Thales"
"Wellcome Trust and Department of Health"
"Royal Institution of Chartered Surveyors Research Trust"
"NovoNordisk"
"Greater Lincolnshire Local Enterprise Partnership"
"Monohakobi Technology Institute"
"Esme Fairbairn Foundation"
"National Library of Scotland Moving Image Archive"
"Deutsche Gesellschaft für Internationale Zusammenarbeit"
"Abertawe Bro Morgannwg University Health Board"
"Finnish Government Funding Agency for Technology and Innovation"
"International Ocean Discovery Program"
"Business Finland"
"TETfund"
"Mark McQueen Foundation Trust"
"Calderdale Council"
"Greater Taiwan Biennale [TWN]"
"Bolton at Home"
"Porticus Global"
"Springer"
"Rail Safety Standards Board"
"Tudor Trust"
"West China School of Medicine Sichuan University"
"International Hoof Care Summit 2017"
"Environment Canada"
"Department of Homeland Security [USA]"
"Leibniz Institute for Contemporary History Munich-Berlin"
"South West Academic Health Services Network"
"Cherry Marketing Institute"
"Drill Hall Canberra [AUS]"
"Plastics Ocean Foundation"
"Darwin Plus"
"European Society for Organ Transplantation"
"Sigrid Rausing Trust"
"Metropolitan Police Service"
"United Nations [UN]"
"Wessex Water"
"Royal National Institute of Blind People"
"Cherry Active"
"Office of the Director of National Intelligence"
"The Cheshire and Merseyside Comprehensive Local Research Network"
"Klaus J. Jacobs Research Prize"
"College of Optometrists"
"Bar Standards Board"
"Baxter Healthcare"
"Home Group"
"Chronic Disease Research Foundation"
"Betsi Cadwaladr University Health Board"
"Rape Crisis Scotland"
"Fabrica"
"Ministry of Higher Education [OMN]"
"Japan Society for the Promotion of Science UK"
"Oswaldo Cruz Foundation"
"Electoral Commission"
"KR Foundation"
"Scottish Universities Life Sciences Alliance"
"Commission of the European Communities"
"Health and Social Care Trust"
"Dartington Hall Trust"
"University of York"
"European and Developing Countries Clinical Trial Partnership"
"London Marathon Charitable Trust"
"British Academy [GBR]"
"King’s College Hospital Charitable Trust"
"Scottish Institute of Policing Research"
"The Humane Research Trust"
"Barnardo's"
"Wolfson Foundation"
"NordForsk"
"HM Prison and Probation Service [GBR]"
"South African Medical Research Council"
"Leverhume Trust"
"South Wales Police"
"Helge Ax:son Johnsons Stiftelse, Sweden"
"Venus Charity"
"American Kennel Club-Canine Health Foundation"
"Hong Kong Research Institute of Textiles and Apparel"
"London School of Economics and Political Science"
"VSO International"
"CP Charitable Trust"
"Chief Scientist Office [GBR]"
"Stoke City Football Club"
"Lloyd's register educational trust"
"Christian Vogel Fonds"
"Roche Product"
"Institute of Southern Studies at the University of South Carolina"
"National Nuclear Laboratory"
"National Community Lottery Fund"
"MS Society"
"Partnership for Clean Competition"
"New Opportunities for Research Funding Co-operation Agency"
"European Investment Bank"
"Aberdeen City Council"
"The Colwinston Charitable Trust"
"Gloucestershire County Council"
"Education Endowment Fund"
"Standard Chartered Bank"
"Vertex Pharmaceuticals"
"The Borrow Foundation"
"Pilgrim Trust"
"Legal and General Investment Management"
"Classics for All"
"Higher Education Innovation Fund [GBR]"
"Heritage Lottery"
"The Mercia Fund"
"Ocean Park Conservation Foundation"
"Monash Large Research Grant"
"ACAS"
"Northern Ireland Commissioner for Children and Young People"
"Commissioner for Children and young People Scotland"
"Arts Council of Northern Ireland"
"AKL Research & Development"
"Northwest Lung Centre Charity"
"Ministry of Science and Innovation [ESP]"
"Rural Health Allocation Forum"
"Department for International Development [GBR]"
"Loeb Classical Library"
"Jaguar Land Rover"
"Stand Up To Cancer (part of the Entertainment Industry Foundation)"
"Morris Animal Foundation"
"Johnson & Johnson Vision Care"
"BUPA Foundation"
"Porticus International"
"BNL"
"US Water Research Foundation"
"The College of Policing"
"IFF Research"
"Food Standards Agency Scotland"
"London Development Agency"
"Ministry of Education [BRA]"
"Macmillan Cancer"
"Bloodwise"
"National Centre for the Replacement Refinement and Reduction of Animals in Research"
"European Commission European Regional Development Fund"
"Millenium Challenge Corporation"
"International Medical University, Malaysia"
"Office of the Children's Commissioner"
"Clinton Health Access Initiative"
"Synairgen Research"
"GAVI"
"Vera Down"
"Wetlands International and DOB Ecology"
"Grow MedTech"
"Wolves Community Trust"
"Open Society Foundations Fellowship"
"Soillse"
"Royal College of Physicians"
"Cadw"
"EA Technology"
"Cerebra"
"Office on Drugs and Crime [UN]"
"ARC Medical"
"Irish Research Council for Science, Engineering and Techonology"
"Leicester City Council"
"European Association for the Study of the Liver"
"Centre for Development and Enterprise"
"Deutsche Gesellschaft fur Internationale Zusammenarbeit"
"Munich Re"
"National Institute of Allergy and Infectious Diseases"
"General Medical Council"
"Academy of Finland"
"The Oaks Disaster 1866 Memorial Project"
"OpenAI"
"Coalition for Epidemic Preparedness Innovations (CEPI)"
"Association of British Bookmakers"
"Samaritans"
"Imperial College Healthcare Charity"
"Education Endowment Foundation"
"Motor Neurone Disease Association"
"British School of Archaeology in Iraq"
"Innovate UK, IBM"
"The Blankemeyer Foundation"
"Andrew Mellon Foundation"
"Royal College of Paediatrics"
"National Lottery Heritage Found"
"Institute of Chartered Accountants"
"Societas Archaeologica Upsaliensis"
"Department of Health and Public Health Agency"
"Mundipharma"
"European Centre for Disease Control"
"Johnson Matthey-Davy Technologies"
"Joint Research Centre [EU]"
"King's Internal Seed Fund"
"Cambridge Technology and Trust Initiative"
"Japan Ministry of Internal Affairs and Communication"
"David and Elaine Potter Foundation"
"Prostate Cancer Foundation"
"National Institute for Health and Care Excellence"
"Juvenile Diabetes Research Fund"
"Toledo Institute for International Peace"
"Campaign to Protect Rural England"
"Noble Foundation"
"Dialogue Matters"
"Max Batley Award"
"Simon Fraser University"
"UK Safety Technology Sector Taxonomy Development"
"British Heart Foundation"
"SP Energy Networks"
"GB Rowing"
"National Health and Medical Research Council of Australia"
"Scottish School of Public Health"
"National Museum of the Royal Navy"
"Biotrics Bioimplants GmbH"
"Petroleo Brasileiro S.A."
"High Speed 2"
"NHS Cancer Screening Programme"
"ClimateXChange"
"Novartis Pharma AG"
"Synectics Solutions"
"British Institute at Ankara (BIAA)"
"Canadian Socian Science and History Research Council"
"Robert Wood Johnson Foundation (US)"
"Paul Mellon Centre"
"DATASAT Europe"
"The Wealth Economy"
"Culham St Gabriel’s Trust"
"Sweden Expert Group for Public Economics"
"Scottish Aquaculture Innovation Centre"
"The Energy Institute"
"Conventions Industrielles de Formation Par La Recherche"
"Orkney Islands Council"
"Centre of Expertise on Child Sexual Abuse"
"Documentation Centre for Music"
"Nanoparticle Research Laboratory"
"Forces in Mind Trust"
"One North East [GBR]"
"National Institute for Health and Care Excellence [GBR]"
"Department of Canadian Heritage"
"Ministry of Education [CHN]"
"PWS Distributors"
"European Council [EU]"
"Childwick Trust"
"Bristol City Council"
"Julia and Hans Rausing Trust"
"Ministry of Education, Science and Sport of the Republic [SVN]"
"MAVA Fondation Pour Le Nature"
"Agence Nationale de la Recherche, Sciences Humaines et Sociales, France"
"14) CST Global"
"Fight for Sight"
"Northern Ireland Chest Heart and Stroke Association"
"Scottish and Southern Energy"
"Older People’s Commissioner, Wales"
"British Council and Higher Education Commission of Pakistan"
"Transport Research Laboratory"
"Golsoncott Foundation"
"Riksbankens Jubileumsfond"
"Classics For All"
"British Swimming"
"National Geographic Society"
"The Society for French Studies"
"The Institute and Faculty of Actuaries"
"Arthritis Research UK"
"Brigstow Institute"
"Bob Champion Cancer Trust"
"Department for Communities, NI"
"Bringing Hope"
"State of São Paulo Research Foundation"
"Medicines for Malaria Venture"
"International Council on Systems Engineering"
"Autism Speaks"
"Lloyds Register Foundation"
"Population Services International"
"Society for research into higher education"
"Festival 2014"
"Gad Rausings Stiftelse"
"Scottish Executive Central Research Unit"
"US Office of Naval Research"
"Henry Moore Foundation"
"Miami Foundation"
"Health and Social Care Board"
"Wellcome Collection"
"Woolf Fisher Trust"
"Church of England"
"Yorkshire and Humber Deanery"
"The Shefa Fund"
"International Development and Research Centre [CAN]"
"The National Trust"
"East of England Strategic Health Authority"
"Sheffield Museums"
"Ofcom"
"Tell MAMA"
"Sheepdrove Trust"
"15) EPSRC"
"Inver House Distillers"
"British Infection Association"
"Venice Architecture Biennale"
"Chartered Governance Institute"
"International Society of Transport Aircraft Trading Foundation"
"Alfred P. Sloan Foundation"
"Boeringer Ingelheim Vemedica GmbH"
"People’s Trust for Endangered Species"
"Welsh European Funding Office"
"The Crown Estate"
"Acacia project"
"Vestergaard"
"Foundation to Promote Open Society"
"JGW Patterson Foundation"
"SNIFFER"
"Internet Watch Foundation"
"Nuffield Health"
"Oxford Space Systems"
"Royal Commission for the Exhibition of 1851"
"Socio-Legal Studies Association"
"Equestrian Solutions"
"Northumbria Safer Roads Initiative"
"University of Oxford"
"Helperby Therapeutics Group"
"Geita Gold Mine"
"Riverbanks Zoo and Garden"
"GML"
"Nottingham Trent University"
"Siemens"
"The Electoral Commission"
"Construction Industry Training Board"
"Allergan Sales"
"DEBRA"
"Networked Quantum Information Technologies"
"Pola Art Foundation"
"Pharmaceutical industry funders"
"Elsevier"
"Chartered Accountants Ireland Educational Trust"
"Stefanou Foundation"
"D2N2 Local Enterprise Partnership"
"Gavi"
"Education Scotland"
"Science and Technologies Facilities Council"
"Trades Union Congress"
"Joseph Rowantree Foundation"
"Robertson Foundation"
"London Sustainable Development Commission"
"Pensions and Lifetime Savings Association"
"Chartered Institute of Personnel and Development"
"Northern Ireland Department of Finance"
"Rayner Intraocular Lenses"
"Samaritans Ireland"
"Derbyshire Police and Crime Commissioner"
"Art Analysis and Research Ltd"
"Rothamsted Research"
"Stuart Hall Foundation"
"Erasmus University Rotterdam"
"Movember Foundation"
"Lucite International"
"ZKM"
"SWIFA"
"European League Against Rheumatism"
"Cliveden Conservation"
"Aneurin Bevan University Health Board"
"The Healthcare Improvement Studies Institute (THIS Institute)"
"European Centre for Medium-Range Weather Forecasts"
"Strategic Insight Programme"
"Australian Aid"
"Trust for London"
"Strathmartine Trust"
"Yorkshire Forward"
"Elmhurst Ballet School"
"Government Investment Corporation of Singapore"
"Forestry Commission"
"Office of the Deputy Prime Minister"
"Peratech Hold"
"Royal National Lifeboats Institute"
"Research into Practice"
"Chiltern Railways"
"General Federation of Trade Unions"
"Allen Lane Foundation"
"Cambridge Weight Plan"
"Scottish Council for Voluntary Organisations"
"Teacher Training Agency"
"Hewlett Packard"
"Clackmannanshire, Argyll and Bute, East Lothian Councils"
"Heart Research UK"
"Titan Salvage"
"University of Bristol"
"SE Trust Health Board Northern Ireland"
"City of Bradford"
"Ministry of Foreign Affairs [FIN]"
"Global Action Plan"
"Leicestershire County Council"
"European Comission/ GEANT"
"The Data Lab"
"Mersey Care NHS Foundation Trust"
"Houblon-Norman Fund"
"Ilika"
"Global Health Challenges"
"City of London"
"Howden Joinery"
"LetterOne"
"CWU Ireland"
"Avon Primary Care Research Collaborative"
"Institute of Sociology, Russian Academy of Sciences, Moscow"
"Electricity Supply Board Group"
"Schmidt Foundation"
"Ministry of Defence [GBR]"
"National Endowment for the Humanities [USA]"
"Business in the Community, NI"
"Natural Environment Research Council [GBR]"
"Volkswagen Stiftung"
"Roger Counter Foundation"
"Calouste Gulbenkian Foundation"
"Oil & Gas UK"
"Protection Science and Technology Centre"
"Being Human 2016"
"Tommy’s Charity"
"The Samworth Foundation"
"Anglo-German Foundation"
"ADUS Deepocean"
"Society for Endocrinology"
"University Global Partnership Network"
"University Forum for HRD"
"Sport Wales"
"Engineering Composites Solutions Ltd"
"Dunhill Medical Trust"
"Crown Estate"
"Lambeth and Southwark Housing Association"
"Shenzhen Tencent Computer System"
"Government of Bizkaia"
"Foreign and Commonwealth Office"
"University of Birmingham"
"University of Toronto"
"Friends Provident Charitable Foundation"
"Wessex Heartbeat"
"Dogs Trust"
"Football Association of Wales Trust"
"Broadcasting Authority of Ireland"
"Merck"
"Oxford Martin School"
"Zoological Society of London"
"Centre for Environment, Fisheries and Aquaculture Science [GBR]"
"Cricket Ireland"
"North East Local Enterprise Partnership"
"University of Cincinnati"
"Physiological Society"
"English Institute of Sport"
"Geneva Global"
"European Agricultural Fund for Rural Development"
"Arts council England"
"Systematics Association"
"Dog Welfare Trust"
"The Children's Commissioner for England"
"Low Pay Commission"
"AVIVA"
"Health Education South London"
"Belmont Forum"
"European Respiratory Society (ERS)"
"Waters"
"Higher Education Funding Council for Wales"
"Northern Ireland Community Relations Council"
"European Observation Network for Territorial Development and Cohesion (ESPON)"
"Education International"
"International Spinal Research Trust"
"Faraday Institute of Science and Technology"
"DJO Global Company"
"Learning and Teaching Support Network"
"Pulitzer Foundation"
"Museums Galleries Scotland"
"Templeton Religion Trust"
"Fare Network"
"Australian Department of Defence"
"Brazilian Social Security Association for Industry"
"Andrews Charitable Trust"
"National Human Genome Research Institute (NHGRI)"
"Assissa Consulting"
"Rothschild Foundation"
"Quatar Foundation"
"Department for Environment, Food and Rural Affairs [GBR]"
"New Zealand Department of Conservation"
"Skills for Care"
"British Veterinary Association"
"IguanaFest"
"Saint Gobain"
"Leverhulme Trust Trust"
"US National Institute of Justice"
"Leukemia and Lymphoma"
"Harry Ransom Fellowship"
"TrygFonden Organisation"
"Durham County Council"
"Ralph Brown Expedition Award"
"Education Achievement Service South East Wales"
"Scottish Funding Council"
"Jerusalem Trust"
"HSC Research and Development"
