case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
8a33d50d-b4a7-4cae-8e08-9858822e608a,2,0.235409084646666,-1,0.08776433862613386,2,0.2073682028223776,-1,0.03474153734209976
176d8575-398b-4ae2-8bdf-ac0e12c79021,-1,0.22152376771099558,5,0.28417096616233145,-1,0.1427889540359563,26,0.2942939289787554
a210df71-70c3-4a6e-93b4-4320437e3ece,0,0.38316170328048776,0,0.48242196994079495,0,1.0,9,0.3407664907528321
d87b067b-405a-4de2-9628-43c634c31070,3,0.0350928313945512,2,0.08274031622538815,-1,0.02135715483699847,1,1.0
ab0b8736-a30c-4aa6-82d9-82a7acb58648,0,0.20108774440761024,0,1.0,0,0.17206555117851938,27,0.5607999877902107
9bdfb437-22f1-4134-9104-aca3e007fde3,1,0.26072800387656925,6,0.18431534687783035,14,0.20282285746419212,3,0.09169290008942352
32ef336d-b633-4d71-8398-a7ee3b99d519,15,0.616280667220117,-1,0.011118647442931676,20,1.0,4,0.055974500101545435
2885972f-52e8-4fd9-ad48-bfa7ff48def9,15,1.0,4,0.09275489835757147,20,1.0,-1,0.047568264441675626
dca41c27-21d3-4932-bb72-cb43a89ea9b1,-1,0.09990432857199505,-1,0.03998968364915806,-1,0.02356346843660626,-1,0.030005036647729695
0a5b643c-665d-4ff7-831c-e4251c624cca,-1,0.10361979083887864,-1,0.04133407992215594,-1,0.008201758312041563,-1,0.06177885676967644
acf019c7-b442-4f20-8072-5dd0b4a32dc5,8,0.7087863691371995,9,0.2042424199110652,10,0.37890370157865644,8,1.0
547c0426-db7d-4c91-91bf-e7420ae5a181,1,0.1734144565974845,6,0.24175335166472123,-1,0.08934885695040694,3,0.1824346519768169
0b0d8ef0-3ce1-4ab5-90d5-bf76b08a5777,6,0.14474102794925214,-1,0.07263282582010402,-1,0.006459996355823441,-1,0.1637901816984587
52a42e12-dd1f-4728-9539-81c9acbb057f,1,0.6579245139084258,18,0.29563180801370975,14,0.14462524631802096,13,0.40437291393385927
d598b7e0-2833-471b-aa96-2ee84d8e5e80,10,0.2637902014461239,14,1.0,19,1.0,14,0.47782443677941583
480666df-f7af-46e0-b650-7386e0ef0762,6,0.0731071327700452,-1,0.10036217168324317,-1,0.015205612498237027,-1,0.021588044964774202
bca4dacf-8633-4f45-bb31-1ab65b65cfd6,10,1.0,13,0.23150986490666128,5,0.050262027773349656,14,1.0
94c69c5d-cb2d-4887-97d3-a9cb4c6ba5e0,8,0.12204886851270386,9,0.1820028894229886,10,0.07214601167084843,8,0.4613027195543608
8ace7d86-9add-45ab-bd56-3f11f88ae2c7,9,0.45787200433411945,24,1.0,6,0.07021860498343024,15,0.1376992075340225
d03b0656-1392-43d9-ad68-996cf919e893,15,0.33277699811721756,21,0.44317735478551074,20,0.10929277221173868,20,1.0
b63b762b-6b4b-4c1a-9cc5-0177be28a35b,1,1.0,-1,0.09227153975269917,-1,0.07783725289369155,-1,0.046320662383970146
b447512a-c5f7-4a50-b779-d8f2951f59af,0,0.8689145846180747,0,1.0,0,1.0,21,0.566901629819182
542e76f9-6242-4b3e-ac9c-0335cf65c01f,4,1.0,-1,0.03498978590197371,-1,0.0588368334258262,5,0.055549917450418394
71222532-5346-425f-8588-566ed07d8897,-1,0.051120733281696626,35,1.0,-1,0.016498691261284906,-1,0.029426862833560503
441ba9b5-6524-486f-9bff-d99a595f095f,19,1.0,18,0.09753197582909232,16,0.14798353939738035,13,1.0
ed505edf-aca3-478a-9279-477d22edb193,6,0.21061638867180837,13,0.06464400037332846,5,0.019588199596711382,-1,0.0724806766621762
2ac3a540-e67a-4efc-8e63-90e5df01d14c,-1,0.015733730353734425,-1,0.11900353659342858,0,0.05223854869759775,-1,0.048866945839418835
a25af221-0172-4f08-a237-4c38d3a36722,5,0.06745899168382699,24,0.1916477689720212,-1,0.013785716742544215,28,1.0
