case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b,-1,0.05639792767866267,-1,0.030518922035108167,-1,0.09366368331858213,-1,0.03925347972122744
4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4,22,0.05070898940046676,-1,0.036073344567971496,13,1.0,16,0.15381878534864415
9ae98944-f9b3-48a9-81bd-778d8716860a,22,0.08891234338770997,-1,0.02550561760391649,-1,0.005859789860647143,-1,0.030424004023519226
8683d219-0009-4ef5-94c6-394800b81094,112,1.0,83,0.25100810866248846,-1,0.017316660947020633,100,1.0
73dbc3bb-1e89-40d3-bb77-8a51e505297e,5,0.0250194964091478,116,1.0,85,1.0,0,0.059260523376029946
b0cc817d-6c01-47db-ac53-ab369de00cb9,5,0.025383068496128317,116,1.0,85,1.0,0,0.06676404663952014
ca73bba6-6f7a-420e-a802-d4ae6e5ae610,14,0.29335147365907444,17,1.0,-1,0.0034799896462599294,14,1.0
eb97036f-d2c9-426f-b47e-a5d7a5540c02,0,1.0,2,0.26215220894348223,-1,0.0075308143214662705,5,0.1944431288701169
dc566dca-0212-4073-8eca-53a4aaf7385c,69,1.0,24,0.6289777058556381,18,0.6412642926803159,30,1.0
11ed772d-1c8e-444f-8d78-ef3c8a3f8374,-1,0.010424779675125633,-1,0.04113463550729806,111,1.0,43,0.09147294862284533
76865506-3810-4118-bdff-d032adedee42,0,0.14471969621177108,30,0.0345761524461909,3,1.0,-1,0.012674502573119369
e684b230-f53d-4bfd-be15-319ba3dfd9b3,-1,0.0302316136276252,14,0.1175944062353655,22,0.1053773017168103,7,0.6799182991933608
dcd83434-243a-4fba-946d-ea6ae7c78a08,45,0.49132770709717444,80,0.5687648564521488,13,1.0,16,1.0
acee75c2-a004-41d8-b1ab-6539d2fdba59,0,0.08046564630024312,-1,0.047242874027129435,3,0.08570521903831466,-1,0.029304514443612067
0b44de58-6b72-46db-b8f7-a7deedb64dde,36,0.05940020127774342,67,0.6279059570283889,84,0.21796180360744047,48,1.0
cc8c5369-343d-4238-ad8c-c94d5d6c4bd2,69,0.665966101727604,24,1.0,18,0.4253824889897937,30,1.0
e719ce9c-79c9-4630-9b0f-7c83f0eb5fd5,7,0.02061009842870031,2,0.11625380907495551,-1,0.0025861532552792854,30,0.016328205803914215
51533bcb-1259-4e2d-8b20-7fc97ca3aea4,7,0.048441469363477686,-1,0.03168879051791869,-1,0.0012177658404569102,101,1.0
66a299d1-025f-4949-a466-6e30478023ac,-1,0.015665607543547823,21,1.0,29,0.05143125072310394,40,0.09244408002291757
