,ics_table_id,funder,id
3908,3908,Bank of America,7312
2747,2747,Bank of England,5131
6258,6258,Bank of Muscat,11749
4992,4992,Bar Standards Board,9347
6258,6258,Barakat Trust,11750
435,435,Barbour Foundation,849
6358,6358,Barcelona City Council,11929
3164,3164,Barclays,6006
2678,2678,Barnardo's,5006
5882,5882,Barnardo's Cymru,10992
3728,3728,Barnwood House Trust,7003
1748,1748,Barrow Cadbury Trust,3229
270,270,Barrow Cadbury Trust (BCT),530
819,819,Barts Charity,1527
3027,3027,Barts and the London Charity,5732
520,520,Bat Conservation Trust,1017
267,267,Bath Institute for Rheumatic Diseases,525
2068,2068,Bausch & Lomb,3735
442,442,Bausch and Lomb,871
2859,2859,Baxter Healthcare,5340
1775,1775,Baxter Healthcare Corporation,3283
484,484,Bayer AG,937
4551,4551,Bayer CropSciences,8632
5799,5799,Bayer Healthcare,10822
435,435,Bayer Pharma AG,844
4545,4545,Beatrice Offshore Windfarm,8621
832,832,Bedfordshire Police,1549
3447,3447,Beijing Municipal Commission of Education,6519
4014,4014,Being Human 2016,7539
3534,3534,Being Human Festival,6641
5421,5421,Being Human Festival:Wellcome Trust,10142
322,322,Belgian Government,630
2593,2593,Belgian Science Foundation,4802
1213,1213,Belmont Forum,2170
2767,2767,Benchmark Animal Health,5174
10,10,Bennington College,33
4863,4863,Berendel Foundation,9177
2337,2337,Berkshire Healthcare Trust,4238
1920,1920,Bern Cantonal Police,3499
1321,1321,Bertarelli Foundation,2360
1762,1762,Berwick Arts Development,3260
1701,1701,Beryl Evetts and Robert Luff Animal Welfare Trust,3126
430,430,Betsi Cadwaladr University Health Board,835
2057,2057,Beyond Borders,3710
5421,5421,Bibliographical Society of America,10143
2823,2823,Big Health,5287
571,571,Big Issue Invest,1132
5648,5648,Big Lottery,10492
109,109,Big Lottery Fund,196
339,339,Big Lottery Reaching Communities,676
5708,5708,Bill Sargent Trust,10604
3,3,Bill and Melinda Gates Foundation,13
608,608,Bill and Melinda Gates Foundations,1170
70,70,Binx Health,136
4804,4804,BioMarin,9060
1425,1425,BioMarin Pharmaceutical,2578
3927,3927,Biomedical Advanced Research and Development Authority,7357
1,1,Biotechnology and Biological Sciences Research Council [GBR],6
6105,6105,Biotrics Bioimplants GmbH,11463
5414,5414,BirdLife International,10126
2878,2878,Birmingham Children's Hospital,5400
4508,4508,Birmingham City Council,8537
3104,3104,Birmingham Women’s Hospital,5896
4148,4148,Bittner Foundation,7841
4086,4086,Blackburn with Darwen Borough Council,7716
2469,2469,Blackburn with Darwen Council,4532
1302,1302,Blackpool Council,2327
1841,1841,Blatchford,3379
1237,1237,Blood Cancer UK,2209
2602,2602,Bloodwise,4822
4000,4000,Blue Bear Systems Research,7509
1911,1911,Blue Marine Foundation,3494
62,62,"Bluecoat, Liverpool",129
1402,1402,Bob Champion Cancer Trust,2515
5737,5737,Bodleian Library,10665
4181,4181,Boehinger Ingelheim,7930
248,248,Boehringer Ingelheim,475
344,344,Boeing United Kingdom,686
2605,2605,Boeringer Ingelheim Vemedica GmbH,4835
2396,2396,Bolton at Home,4347
2775,2775,Bone Cancer Research Trust,5184
1560,1560,BookTrust,2828
2233,2233,Boost Foundation,4038
255,255,Bord na Gaidhlig,494
3924,3924,Borderline Personality Disorder Research Foundation,7351
3140,3140,Borealis AB,5977
6105,6105,Botiss Medical AG,11464
2317,2317,Brain Tumour Charity,4195
5632,5632,Brava and Telles Foundation,10460
6003,6003,Brazilian Social Security Association for Industry,11239
1752,1752,Breakthrough Breast Cancer (now Breast Cancer Now),3233
984,984,Breast Cancer Campaign,1814
148,148,Breast Cancer Now,270
4078,4078,Brian Abernathey,7698
3914,3914,Brian Holden Vision Institute,7336
5405,5405,Brighton and Hove Commissioners,10114
2091,2091,Brigstow Institute,3790
2135,2135,Brine Compensation Board,3854
1587,1587,Bringing Hope,2881
1885,1885,Bristol Care Homes,3448
1716,1716,Bristol City Council,3170
3966,3966,Bristol Industrial and Research Associates,7436
1202,1202,Bristol Myers Squibb,2152
1379,1379,Bristol Zoological Society,2466
2982,2982,Bristol-Myers Squibb Pharmaceuticals,5609
2677,2677,British Academy,5004
27,27,British Academy [GBR],70
2448,2448,British Academy of Management,4476
2732,2732,British Academy/Leverhulme Trust,5111
5798,5798,British Association for American Studies,10818
5859,5859,British Association of Applied Linguistics,10952
5180,5180,British Association of Chartered Physiotherapists in Amputee Rehabilitation,9717
3817,3817,British Association of Counselling and Psychotherapy,7151
527,527,British Association of Dermatologists,1031
1439,1439,British Broadcasting Corporation,2595
5764,5764,British Business Bank,10718
5899,5899,British Coal Utilisation Research Association,11023
41,41,British Council [GBR],93
45,45,British Council and Higher Education Commission Pakistan,98
