,ics_table_id,funder,id
1340,1340,Hong Kong Academy of Medicine,2395
779,779,Hong Kong Jockey Club,1462
3967,3967,Hong Kong Research Institute of Textiles and Apparel,7440
959,959,Honolulu Zoo,1762
2328,2328,Hope Scott Trust,4226
2905,2905,Hope kidney Patient Association,5466
468,468,Horizon 2020 [EU],906
1407,1407,Horse Race Betting Levy Board,2535
2264,2264,Horserace Betting Levy Board,4087
54,54,Horticultural Development Council,118
1782,1782,Hospice in the Weald,3299
2747,2747,Houblon-Norman Fund,5132
3055,3055,House of Commons,5801
3387,3387,House of Lords,6385
4466,4466,Howard G Buffett Foundation,8439
2753,2753,Howden Joinery,5152
6295,6295,Huawei,11820
4023,4023,Huawei Technologies,7556
10,10,Hubbub,28
30,30,Hugh Fraser Foundation,78
47,47,Hull City Council,104
4218,4218,Hull Primary Care Trust,7994
2140,2140,Hulme Community Garden Centre,3865
1544,1544,Human Frontier Science Program,2806
3892,3892,Human Frontier Science Research Project,7272
189,189,Human Rights Consortium of the University of London,363
2192,2192,Humane Slaughter Association,3972
361,361,Humanities in the European Research Area,720
1054,1054,Hunan Zhongke Water Environment Management,1930
2518,2518,Hungarian Scientific Research Fund,4660
4156,4156,Hunter Archaeological Trust,7873
1770,1770,Huntsman,3274
1346,1346,Husky Oil Operations,2418
86,86,Hyosung Corporation Power & Indust Systems [KOR],161
984,984,I-Net,1816
1914,1914,IBM,3495
2392,2392,IBioIC,4335
1701,1701,IDEXX,3125
81,81,IELTS Partners,151
5929,5929,IFF Research,11082
2595,2595,IHPC Singapore,4811
5968,5968,IKEA Foundation,11150
2453,2453,IMEC,4490
424,424,INTAS,823
3293,3293,ISEAL Alliance,6205
1748,1748,ISS Facility Services,3230
2202,2202,ITF Seafarers’ Trust,3995
4878,4878,ITF Sefarers Trust,9195
2258,2258,IUCN SSC Conservation Planning Specialist Group,4082
3778,3778,IUCN Save Our Species,7076
864,864,Iberbibliotectas Grant,1591
3306,3306,IguanaFest,6238
2506,2506,Ilika,4632
2325,2325,Impact International,4215
435,435,Imperial Cancer Research Fund,850
520,520,Imperial College,1014
4919,4919,Imperial College Healthcare Charity,9259
2775,2775,Imperial College London,5183
6204,6204,"Imperial War Museum, London",11644
6235,6235,InHealth Pain Management Group,11707
4218,4218,Independent Inquiry into Child Sexual Abuse,8000
4459,4459,Independent Research Foundation,8418
1061,1061,Independent Social Research Foundation,1943
3630,3630,Inderscience Publishers,6827
1687,1687,Individual Delegates,3086
2628,2628,Industrial Corporation,4880
2696,2696,Industrial Strategy Challenge Fund,5033
4017,4017,Industry Technology Facilitator,7547
1737,1737,Ineos Acrylics,3209
1,1,Innovate UK [GBR],5
1957,1957,"Innovate UK, IBM",3554
3662,3662,Innovation Engineering,6884
2195,2195,Innovation Partnership Scheme,3986
1275,1275,Innovation Voucher,2276
5715,5715,Innovations for Poverty Action,10615
1528,1528,Innovative Medicines Initiative,2767
1586,1586,Innovative Medicines Initiative [EU],2873
3749,3749,Innovative Vector Control Consortium,7030
5065,5065,Innovia Films,9505
6353,6353,Inquest,11923
4200,4200,Insolvency Service,7959
5655,5655,Institut fur Auslandsbeziehungen,10507
2585,2585,Institute and Faculty of Actuaries,4777
5195,5195,Institute for Classical Studies,9745
3637,3637,Institute for Family Business Research Foundation,6843
1687,1687,Institute for Field Research [AUS],3084
5361,5361,Institute for Fiscal Studies,10042
3116,3116,Institute for Local Governance,5919
5028,5028,Institute for New Economic Thinking,9430
5920,5920,Institute for Occupational Safety and Health,11058
5566,5566,Institute for Outdoor Learning,10336
2890,2890,"Institute for Public Safety, Crime and Justice",5419
5917,5917,Institute for the Study of Aegean Prehistory,11045
2201,2201,Institute of Amateur Cinematographers,3994
2726,2726,Institute of Brewing and Distilling,5103
2419,2419,Institute of Chartered Accountants,4395
231,231,Institute of Chartered Accountants Scotland,436
4959,4959,Institute of Chartered Accountants of Scotland,9306
5665,5665,"Institute of Chartered Accountants of Scotland, Financial Reporting Council",10519
4938,4938,Institute of Coaching,9282
1788,1788,Institute of Education Sciences,3303
4345,4345,Institute of Fisheries Management,8228
3637,3637,Institute of Leadership and Management,6842
1125,1125,Institute of Local Governance,2040
636,636,Institute of Mathematics and its Applications,1231
5702,5702,Institute of Social Psychiatry,10581
843,843,"Institute of Sociology, Russian Academy of Sciences, Moscow",1562
6280,6280,Institute of Southern Studies at the University of South Carolina,11797
6333,6333,Institute of Tropical Medicine Antwerp,11879
2951,2951,Institution of Occupational Safety & Health,5540
3671,3671,Institutional Funding,6906
5254,5254,Institutional University Cooperation,9825
2990,2990,Instituto Alpha e Beto,5634
5774,5774,Integrated Education Fund,10753
2406,2406,Intel Corporation,4369
5232,5232,InterTrade Ireland,9794
3570,3570,Interface Food and Drink,6694
2256,2256,International Aids Society,4080
3306,3306,International Association for Bear Research and Management,6230
2174,2174,International Astronomical Union,3932
5216,5216,International Atomic Energy Agency,9774
2630,2630,International Bus Benchmarking Group,4896
3198,3198,International Centre for Pension Management,6079
5376,5376,International Centre for Tax and Development,10068
1263,1263,International Copper Association,2253
2115,2115,International Council for Control of Iodine Deficiency Disorder,3819
5341,5341,International Council on Systems Engineering,10004
2086,2086,International Development Research Centre,3779
5707,5707,International Development and Research Centre [CAN],10602
2669,2669,International Food Policy Research Institute,4987
677,677,International Foundation for Research in Paraplegia,1299
3891,3891,International Fund for Animal Welfare,7270
5797,5797,International Glaucoma Association,10813
2997,2997,International Growth Center,5653
2250,2250,International Holocaust Remembrance Alliance,4065
2786,2786,International Hoof Care Summit 2017,5215
3306,3306,International Iguana Foundation,6236
3015,3015,International Inequalities Institute,5707
342,342,International Initiative for Impact Evaluation,683
2062,2062,International Labour Organization,3716
2154,2154,International Life Science Institute,3888
4089,4089,International Livestock Research Institute,7727
1404,1404,"International Medical University, Malaysia",2532
2183,2183,International Ocean Discovery Program,3957
1130,1130,International Olympic Committee,2055
4246,4246,International Organisation of Migration,8058
5333,5333,International Paralympic Committee,9987
6246,6246,International Partnership for Microbicides,11725
5422,5422,International Primatological Society,10148
4568,4568,International Rugby Board,8670
3617,3617,International Science Council,6797
5655,5655,International Service for Human Rights,10505
5639,5639,International Shooting Sport Federation,10482
4513,4513,International Social Science Council,8548
2488,2488,International Society of Transport Aircraft Trading Foundation,4594
677,677,International Spinal Research Trust,1300
2172,2172,International Telecommunication Union,3926
6121,6121,International Triathlon Union,11484
438,438,International Union for Conservation of Nature,861
3520,3520,International Water Management Institute,6611
2673,2673,Internet Watch Foundation,4997
328,328,Interreg,644
5980,5980,Interreg Europe,11180
671,671,Interreg France (Manche)-Angleterre,1294
2419,2419,Intertrade Ireland,4398
6310,6310,Interxion,11850
2725,2725,Invensys,5100
6204,6204,Inver House Distillers,11641
328,328,Invest NI,645
125,125,Invest Northern Ireland,227
1473,1473,Investigator award,2667
2689,2689,Investment Property Forum,5019
3897,3897,Iona Cathedral Trustees,7284
2982,2982,Ipsen Innovation,5613
3063,3063,Ipsos MORI,5821
3662,3662,Iris AI,6886
2443,2443,Irish Amateur Boxing Association,4459
5268,5268,Irish Department of Foreign Affairs Reconciliation Fund,9843
2412,2412,Irish Environmental Protection Agency,4386
736,736,Irish Film Board,1390
4951,4951,Irish Government,9292
509,509,Irish Human Rights and Equality Commission,985
4016,4016,Irish Research Council,7541
2385,2385,"Irish Research Council for Science, Engineering and Techonology",4322
2443,2443,Irish Rugby Football Union,4457
736,736,Irish Tax and Customs,1393
18,18,Isaac Newton Trust,59
6111,6111,Isle of Wight Council,11476
2689,2689,Islington Council,5020
2864,2864,Islington Primary Care Trust,5366
316,316,Istanbul Development Agency,614
2587,2587,Ivanplats Proprietary,4781
4804,4804,JGW Patterson Foundation,9058
4094,4094,JP Morgan,7736
4368,4368,Jacob Blaustein Institute,8268
5565,5565,Jacobs Foundation,10330
1768,1768,Jaguar Land Rover,3267
4482,4482,Jaguar Land Rover Automotive,8476
2466,2466,James Place Charity,4519
738,738,Jan Wallanders och Tom Hedelius Stiftelse [SWE],1396
248,248,Janssen,477
2241,2241,Janssen Pharmaceutica NV,4052
3410,3410,Japan Foundation,6444
1163,1163,Japan Ministry of Internal Affairs and Communication,2097
771,771,Japan Society for the Promotion of Science,1444
5449,5449,Japan Society for the Promotion of Science UK,10181
901,901,Japanese Government,1648
149,149,Jeremy Benn Associates,275
5793,5793,Jerusalem Trust,10795
5775,5775,Jerwood Charitable Foundation,10755
10,10,Jerwood Foundation,34
789,789,Jeunesses Musicales International,1484
320,320,John D. and Catherine T. MacArthur Foundation,627
3748,3748,John Ellerman Foundation,7026
2172,2172,John Fell Fund,3924
1212,1212,John Simon Guggenheim Memorial Foundation,2168
1573,1573,John Templeton Foundation,2845
3192,3192,John Templeton Research Foundation,6062
5021,5021,John Templeton World Charity Foundation,9418
6021,6021,Johns Hopkins University,11297
1673,1673,Johnson & Johnson,3056
2068,2068,Johnson & Johnson Vision Care,3734
392,392,Johnson Matthey,766
3973,3973,Johnson Matthey Davy Technologies,7453
1419,1419,Johnson Matthey-Davy Technologies,2561
1028,1028,Joint Nature Conservation Committee,1894
3782,3782,Joint Research Centre [EU],7093
5203,5203,Joint UK Funding of Global Health Research Initiatives,9759
318,318,Jonah's Just Begun Foundation to cure Sanfilippo Inc,621
1374,1374,Joseph Roundtree Foundation,2459
5904,5904,Joseph Rowantree Foundation,11027
167,167,Joseph Rowntree Foundation,312
5431,5431,Julia and Hans Rausing Trust,10162
1705,1705,Juvenile Diabetes Research Foundation,3139
1085,1085,Juvenile Diabetes Research Fund,1989
3164,3164,KPMG,6009
1213,1213,KR Foundation,2177
2696,2696,KWS,5031
2278,2278,Kainos Innovation,4129
1587,1587,Kairos WWT,2884
5958,5958,Kantar Public,11128
4068,4068,Karim Rida Said Foundation,7673
1425,1425,Katherine Dormandy Trust,2579
2556,2556,Keele Academic General Practice Partnership,4719
559,559,Kellogg's,1113
1083,1083,Kennedy Trust for Rheumatology Research,1974
18,18,Kennel Club Charitable Trust,57
1415,1415,Kent Cancer Trust,2554
5405,5405,"Kent, Surrey and Sussex Deanery",10116
4466,4466,Kenya Wildlife Trust,8452
5021,5021,Kern Family Foundation,9417
3300,3300,Kick It Out,6219
2905,2905,Kidney Care UK,5462
4845,4845,Kidney Research UK,9152
2905,2905,Kidneys For Life Charity,5463
6220,6220,"Kidneys for Life, Hope Kidney Patient Association",11673
2823,2823,King's College London,5284
1082,1082,King's Internal Seed Fund,1972
495,495,King’s College Hospital Charitable Trust,962
1620,1620,King’s College London,2946
4971,4971,Kirklees Council,9317
1284,1284,Klaus J. Jacobs Research Prize,2291
5011,5011,Knauf,9399
2170,2170,Knowledge Economy Skills Scholarships,3918
4147,4147,Knowledge Tranfer Partnership,7840
3028,3028,Knowledge Transfer Fund,5739
1009,1009,Knowledge Transfer Partnership,1856
2435,2435,Knowledge Transfer Partnerships,4439
2982,2982,KnowledgePoint360 Group,5615
3606,3606,Knowsley Primary Care Trust,6767
4466,4466,Kora,8437
644,644,Korea Institute for Energy Technology Evaluation and Planning,1243
586,586,Kraft Foods,1142
2195,2195,Kromek,3985
3023,3023,Kura Oncology,5722
2172,2172,Kuwait Foundation for the Advancement of Sciences,3923
3731,3731,Kuwait Foundation for the advancement of Science,7014
2396,2396,L&Q,4343
5790,5790,LEGO Foundation,10784
5499,5499,LGC,10246
1179,1179,LSE,2114
145,145,LSE Covid Rapid Response Fund,267
3095,3095,LV Network Templates,5871
5422,5422,La Montagne des Singles,10149
4846,4846,Laerdal Foundation,9155
5740,5740,Lambeth Council,10669
2396,2396,Lambeth and Southwark Housing Association,4348
624,624,Lancashire County Council,1204
3007,3007,Lancaster University,5676
3099,3099,Langdales Cancer Trust,5882
5971,5971,Language Training and Testing Centre (Taiwan),11158
5892,5892,Lankelly Chase Foundation,11008
875,875,Large-Scale Complex IT Systems Initiative,1610
1930,1930,Laura and John Arnold Foundation,3516
3361,3361,"Law Centre, NI",6325
4992,4992,Law Society of Ireland,9350
2582,2582,Lawn Tennis Association,4772
1061,1061,Leadership Foundation for Higher Education,1944
5422,5422,Leakey Foundation,10153
629,629,Learn Direct,1211
242,242,Learning and Teaching Support Network,461
3432,3432,Leeds City Council,6490
1394,1394,Leeds Teaching Hospitals Charitable Foundation,2498
3135,3135,Legal Education Foundation,5967
5704,5704,Legal and General Investment Management,10588
2067,2067,Leibniz Institute for Contemporary History Munich-Berlin,3731
5939,5939,Leibniz Society,11097
5053,5053,Leicester City Council,9485
2233,2233,Leicestershire County Council,4040
1379,1379,Leiden Conservation Foundation,2468
2878,2878,Lejeune Foundation,5398
5632,5632,Lemann Foundation,10461
6360,6360,Leona M and Harry B Helmsley Charitable Trust,11935
475,475,Leona M. and Harry B. Helmsley Charitable Trust,922
1270,1270,Leonardo,2267
3565,3565,Let's Do Business Group,6688
1348,1348,LetterOne,2423
3100,3100,Leukemia and Lymphoma,5885
3648,3648,Leventis Foundation,6852
360,360,Leverhulme Foundation,718
5,5,Leverhulme Trust,17
376,376,Leverhulme Trust / British Academy,744
413,413,Leverhulme Trust Trust,801
395,395,Leverhulme trust,775
1159,1159,Leverhume Trust,2089
5711,5711,Leverhume Trust (UK),10606
3115,3115,LexisNexis Risk solutions,5916
1058,1058,Li Ka Shing Foundation,1940
3721,3721,Liaoning Province Transportation Department [CHN],6989
3635,3635,Life Changes Trust,6835
2174,2174,Light Up Lancaster,3933
5305,5305,Lincolnshire County Council,9927
3044,3044,Lincolnshire Police,5765
556,556,Linnean Society,1096
4466,4466,Lion Recovery Fund,8434
3914,3914,Lions Club International,7340
3572,3572,Lister Institute of Preventive Medicine,6705
41,41,Literature Wales,92
5260,5260,Liverpool City Council,9831
3606,3606,Liverpool Clinical Commissioning Group,6768
2459,2459,Liverpool John Moores University,4498
1309,1309,Liverpool Mutual Homes,2343
3648,3648,Lloyd Cotsen,6851
1273,1273,Lloyd's Register Foundation,2274
221,221,Lloyd's register educational trust,420
101,101,Lloyds,182
5156,5156,Lloyds Register Foundation,9672
1587,1587,Lloyds TSB,2885
1621,1621,Lloyds of London,2950
2444,2444,Local Authorities of Liverpool City Region,4463
1398,1398,Local Enterprise Partnership,2509
4802,4802,Loeb Classical Library,9053
5917,5917,Loeb Classical Library Foundation,11043
2650,2650,Logres Trust,4947
3984,3984,London Air Ambulance and Barts,7479
243,243,London Borough of Barking and Dagenham,465
5094,5094,London Borough of Waltham Forest,9566
1508,1508,London Development Agency,2718
2266,2266,London Marathon Charitable Trust,4093
2967,2967,London School Excellence Fund,5572
1961,1961,London School of Economics and Political Science,3560
4175,4175,London Sustainable Development Commission,7922
306,306,Lonza,596
4353,4353,Loro Parque Fundacion,8244
1292,1292,Low Carbon Network Fund,2311
1748,1748,Low Pay Commission,3228
1737,1737,Lucite International,3210
5190,5190,Ludwig Boltzmann Gesellschaft,9728
734,734,Lullaby Trust,1387
1696,1696,Lumex AS,3116
6270,6270,Luminate,11782
3197,3197,Luminate Group,6076
527,527,Lupus UK,1029
3542,3542,Luxinar,6656
680,680,M & W MACK,1309
2470,2470,MARDI,4540
3678,3678,MAVA Fondation Pour Le Nature,6917
3679,3679,MAVA Foundation Pour Le Nature,6919
3962,3962,MEDA Manufacturing GmBH,7428
5762,5762,"MIGHT, Malaysia",10714
3697,3697,MINOUW Project,6952
4334,4334,MODs Armour,8200
38,38,MOSTYN Gallery,90
1461,1461,MOTOR NEURONE DISEASE ASSOCIATION,2643
3100,3100,MPD Voice,5887
1588,1588,MQ Mental Health Research,2886
3287,3287,MRC (Medical Research Council),6197
4024,4024,MRX Technologies,7562
2592,2592,MS Society,4796
4071,4071,MSCA Individual Fellowship,7681
6245,6245,MSD Animal Health,11724
4922,4922,Mac AIDS Fund,9264
2029,2029,MacMillan Cancer Support,3677
4482,4482,Machines with Vision,8479
2751,2751,Macmillan Cancer,5145
2493,2493,Macmillan Cancer Northern Ireland,4610
2391,2391,Macmillan Cancer Support,4331
2816,2816,Macmillan Eduation,5272
189,189,Macquarie Research Development Grant,364
3023,3023,MacroGenics,5721
3851,3851,Magic Leap,7211
6264,6264,"Magnus Bergwalls Stiftelse, Sweden",11769
5636,5636,Major Fellowship,10470
1984,1984,Make My Day Better,3606
5276,5276,Malone Society,9862
1308,1308,Manchester City Council,2338
4592,4592,Manchester City Council Public Health Team,8730
4592,4592,Manchester Community Safety Partnership Board,8729
772,772,Manchester United Association Football Club,1446
2487,2487,Manchester United FC,4585
167,167,Mandate Trade Union,316
4394,4394,Manolete Partners,8315
3506,3506,"Mansions of the Future, Lincoln",6587
206,206,Marie Curie,395
548,548,Marie Curie [EU],1084
1295,1295,Marie Stopes International,2317
437,437,Marine Alliance for Science and Technology for Scotland,854
1408,1408,Marine Conservation Biology Institute,2544
4336,4336,Marine Conservation Society,8206
6195,6195,Marine Harvest Scotland,11626
960,960,Marine Institute [IRE],1767
1010,1010,Marine Scotland,1858
4867,4867,Marine Scotland via Orkney Sustainable Fisheries Ltd and Orkney Fisheries Association,9181
2274,2274,Marine Stewardship Council,4121
2466,2466,Mark McQueen Foundation Trust,4521
2611,2611,Marks and Spencer,4836
4679,4679,Mars,8859
2941,2941,Mars UK,5526
2767,2767,Mars WALTHAM & Aquasense,5173
1370,1370,Marshalls Mono,2452
4826,4826,Martec,9111
3904,3904,Mary Griffiths Fund,7298
2999,2999,Mass Spec Analytical,5661
2996,2996,Mast Carbon,5648
2892,2892,Matthew 25:35 Trust,5432
1653,1653,Maungatautari Ecological Island Trust,3016
825,825,Max Batley Award,1541
5422,5422,Max Planck Institute,10146
1480,1480,Max Planck Institute for Evolutionary Anthropology,2683
2233,2233,Mayfields Life Skills Centre,4036
1676,1676,McDougall Trust,3063
6184,6184,McGill Institute for the Study of Canada,11601
2627,2627,Medical Devices Technology International,4872
608,608,Medical Research Council (MRC),1168
2,2,Medical Research Council [GBR],7
1605,1605,Medical Research Foundation,2911
6224,6224,Medical Technology Associates II,11685
4228,4228,"MedicalResearchCouncil,NationalInstituteforHealth Research",8022
3480,3480,Medicines for Malaria Venture,6562
6021,6021,Medicines for Malaria Venture Switzerland,11292
442,442,Medicontur,872
5679,5679,Medimmune,10540
1128,1128,"Melksham Community Area Board, Wiltshire Council",2048
1526,1526,Meningitis Research Foundation,2757
1526,1526,Meningitis UK,2760
6332,6332,Mental Health Foundation,11877
2318,2318,Mental Health Nurses Association,4198
5441,5441,Mercers' Company,10173
3629,3629,Mercers’ Company,6825
248,248,Merck,476
2982,2982,Merck & Co,5616
148,148,Merck KGaA,272
2982,2982,Merck Sharp & Dohme,5617
3196,3196,Merck Sharp and Dohme,6071
2970,2970,Merck/MSD Animal Health,5579
5069,5069,Merial Animal Health [USA],9512
5133,5133,Mersey Care NHS Foundation Trust,9634
2449,2449,Merseyside Fire and Rescue Service,4479
1464,1464,Met Office [GBR],2647
4574,4574,Metal Cladding and Roofing Association,8694
1762,1762,Metal Peterborough,3257
6017,6017,Metropolitan Police,11282
720,720,Metropolitan Police Service,1373
2396,2396,Metropolitan Thames Valley,4346
960,960,Mexican Government,1770
3669,3669,Mexican Health Ministry,6900
3197,3197,Miami Foundation,6078
256,256,Micro-X,501
5499,5499,Micromass,10247
79,79,Microsoft,149
2323,2323,Mid Nottinghamshire collaborative (NHS/Local Authorities) partnership,4210
1629,1629,Middlesborough Mind,2964
5766,5766,Midland Neuroscience Teaching and Research Fund,10731
616,616,Midlands Engine,1191
4750,4750,Millenium Challenge Corporation,8966
5987,5987,Millennium Challenge Corporation,11202
2562,2562,Minciencias Colombia,4741
4364,4364,Mind Gym,8264
6084,6084,"Ministerial Advisory Group for the Ulster-Scots Academy, NI",11406
3306,3306,"Ministry for the Environment, Nature Conservation, Building and Nuclear Safety [USA]",6229
2115,2115,"Ministry of Agriculture and Fisheries Wealth, Sultanate of Oman",3818
4641,4641,Ministry of Culture and National Heritage [POL],8808
78,78,Ministry of Defence [GBR],145
5171,5171,Ministry of Education [BRA],9693
2113,2113,Ministry of Education [CHN],3816
4748,4748,Ministry of Education [ESP],8964
1475,1475,Ministry of Education [MYS],2675
4451,4451,Ministry of Education [NZL],8402
3832,3832,"Ministry of Education, Science and Sport of the Republic [SVN]",7176
4348,4348,Ministry of Foreign Affairs [CHE],8231
2736,2736,Ministry of Foreign Affairs [FIN],5115
2736,2736,Ministry of Foreign Affairs [NOR],5116
1161,1161,Ministry of Foreign Affairs [TWN],2095
2629,2629,Ministry of Health and Social Welfare [TZA],4891
4027,4027,"Ministry of Health, Welfare and Sport [NLD]",7579
6258,6258,Ministry of Heritage and Culture [OMN],11752
5069,5069,Ministry of Higher Education [OMN],9513
582,582,Ministry of Justice [GBR],1140
3003,3003,"Ministry of Labour, Social Affairs and Consumer Protection [AUS]",5666
6020,6020,Ministry of Public Safety and Security [KOR],11290
5116,5116,Ministry of Science and Innovation [ESP],9599
1756,1756,Ministry of Science and Technology,3243
5287,5287,Ministry of Science and Technology [CHN],9894
653,653,Ministry of Science and Technology [TWN],1257
5639,5639,Ministry of Sport [FRA],10481
1963,1963,Ministry of Transport [NZL],3565
10,10,Mirvish Barford Sculptures,26
2395,2395,Mission de la Recherche,4339
2777,2777,Mitie Energy,5190
3687,3687,Mitsubishi Corporation,6937
5387,5387,Mitsubishi Heavy Industries,10085
10,10,Modern Art Oxford,41
959,959,Mohamed bin Zayed Species Conservation Fund,1760
2470,2470,Monash Large Research Grant,4539
5913,5913,Monday Charitable Trust,11037
4597,4597,Money Advice Service,8741
1903,1903,Money and Pensions Service,3477
2181,2181,Monohakobi Technology Institute,3953
3700,3700,Montreal Institute of Structured Finance and Derivatives,6954
1129,1129,Moog Controls,2050
5797,5797,Moorfields Eye Charity,10811
3942,3942,Moorfields Eye Hospital Development Fund,7383
1410,1410,Moorfields Eye Hospital Special Trustees,2548
1904,1904,Moors for the Future Partnership,3480
4545,4545,Moray Offshore Renewables,8617
4466,4466,Morris Animal Foundation,8445
3619,3619,Mosscare St Vincent Housing Group,6807
648,648,Motor Neurone Disease Association,1245
1069,1069,Moulton Charitable Foundation,1953
351,351,Moulton Charitable Trust,704
1769,1769,Mount Isa Mines,3271
3061,3061,Movember,5813
2751,2751,Movember Foundation,5142
1347,1347,Moy Park,2422
351,351,Multiple Sclerosis Society,702
5370,5370,Mundipharma,10062
653,653,Munich Re,1256
5984,5984,Muscular Dystrophy Campaign,11193
452,452,Muscular Dystrophy UK,886
1446,1446,Museum-University Partnership Initiative,2613
30,30,Museums Galleries Scotland,77
852,852,Music Therapy Charity,1568
267,267,Myositis Support Group,523
4027,4027,Médecins Sans Frontières,7578
4333,4333,Médecins Sans Frontières’,8195
3312,3312,NAGRA,6247
2846,2846,NATS,5326
6220,6220,NHS Cancer Screening Programme,11676
3793,3793,NHS Liverpool Clinical Commissioning Group,7115
476,476,NHS R & D Programme (NCCHTA),929
150,150,NHS [GBR],277
5764,5764,NI Government,10720
5527,5527,NIH USA,10290
4919,4919,NIHR Imperial Biomedical Research Centre,9260
6080,6080,NOVAC,11393
3023,3023,NanoString Technologies,5723
3750,3750,Nanoparticle Research Laboratory,7031
4777,4777,Naomi Berrie Foundation,9018
1694,1694,"National Academies of Sciences, Engineering, and Medicine [USA]",3104
4198,4198,National Acquisitions Group,7957
520,520,National Aeronautics and Space Administration [USA],1004
2467,2467,National Alkaptonuria Centre,4526
2201,2201,National Archives,3992
2265,2265,National Assembly for Wales,4091
2896,2896,National Audit Office,5441
4379,4379,National Back Pain Association,8295
4489,4489,National Board of Catholic Women,8493
2784,2784,National Board of Medical Examiners,5204
917,917,National Cancer Institute,1676
1991,1991,National Cancer Research Institute,3619
3206,3206,"National Centre for Replacement, Refinement and Reduction of Animals in Research",6096
2596,2596,National Centre for Research Methods,4813
3064,3064,National Centre for Research Methods [GBR],5824
2190,2190,National Centre for the Replacement Refinement and Reduction of Animals in Research,3969
3978,3978,National Centre for the Replacement Refinement and Reduction of Animals in Research (NC3R),7466
1955,1955,"National Centre for the Replacement, Refinement and Reduction of Animals in Research",3548
4825,4825,"National Centre for the Replacement, Refinement and Reduction of animals in Research",9107
532,532,"National Centre for the Replacement, Refinement, and Reduction of Animals in Research",1053
3375,3375,National Centre of Social Research,6347
5283,5283,National Community Lottery Fund,9873
5682,5682,National Coordinating Centre for Public Engagement,10544
654,654,National Coordinating Centre for Research Methodology,1269
1180,1180,National Council for Curriculum and Assessment [IRE],2119
5841,5841,National Council for Special Education,10914
2548,2548,National Council of Science and Technology [MEX],4700
5807,5807,National Cyber Security Centre [GBR],10835
1571,1571,National Decommissioning Centre,2843
1128,1128,National Education Union,2046
553,553,"National Endowment for Science, Technology and the Arts [GBR]",1091
2075,2075,National Endowment for the Humanities,3756
1327,1327,National Endowment for the Humanities [USA],2374
1031,1031,National Environment Research Council,1899
1379,1379,National Environment Research Council (NERC),2472
2711,2711,National Eye Research Centre,5069
1817,1817,National Federation of Self Employed and Small Businesses Limited FSB,3343
2896,2896,National Fire Chiefs Council,5442
6118,6118,National Fraud Strategic Authority,11478
3244,3244,National Gallery of Art [USA],6135
3778,3778,National Geographic,7077
4466,4466,National Geographic Big Cats Initiative,8440
1212,1212,National Geographic Society,2166
225,225,National Grid,428
137,137,National Health Service [GBR],247
2826,2826,National Health Service [NHS],5295
1862,1862,"National Health Service, Blood & Transplant",3410
2812,2812,National Health and Medical Research Council [AUS],5262
2729,2729,National Health and Medical Research Council of Australia,5108
2676,2676,National Holocaust Centre,5002
4775,4775,National Housing and Planning Advice Unit Period,9007
4914,4914,National Housing and Planning Advisory Unit,9251
4071,4071,National Human Genome Research Institute (NHGRI),7680
4057,4057,National Humanities Center,7654
1265,1265,National Institute for Health Research (Department of Health),2256
3121,3121,National Institute for Health and Care Excellence,5943
253,253,National Institute for Health and Care Excellence [GBR],483
2,2,National Institute for Health and Care Research [GBR],8
3119,3119,National Institute for Justice,5924
5576,5576,National Institute for Mental Health in England,10351
868,868,National Institute of Academic Anaesthesia and Obstetric Anaesthetists' Association,1602
1058,1058,National Institute of Allergy and Infectious Diseases,1938
5004,5004,National Institute of Dental and Craniofacial Research,9378
2221,2221,National Institute of Diabetes and Digestive and Kidney Diseases,4020
1402,1402,National Institute of Health Research,2523
3478,3478,National Institute of Health [USA],6559
239,239,National Institutes of Health [USA],455
2171,2171,National Library of Scotland Moving Image Archive,3922
5614,5614,National Lottery Heritage Found,10426
77,77,National Lottery Heritage Fund,142
318,318,National MPS Society,623
1219,1219,National Maritime Museum,2184
2185,2185,National Multiple Sclerosis Society,3961
10,10,National Museum Wales,36
3908,3908,National Museum of Ireland,7322
1826,1826,National Museum of the Royal Navy,3364
1631,1631,National Natural Science Foundation of China (NSFC),2973
1420,1420,National Nuclear Laboratory,2564
78,78,National Oceanic and Atmospheric Administration [USA],147
5670,5670,National Organisation for the Treatment of Abusers NOTA,10526
4180,4180,National Osteoporosis Society,7929
5034,5034,National Patient Safety Agency,9439
3731,3731,National Physical Laboratory,7012
1920,1920,National Police Chiefs Council,3500
3047,3047,National Police Chiefs’ Council,5773
2835,2835,National Protective Security Authority [GBR],5308
2864,2864,National Rehabilitation Hospital Dublin,5359
556,556,National Research Foundation,1103
1888,1888,National Research Foundation (South Africa),3456
5675,5675,National Research Foundation of Korea,10534
2990,2990,National Research University Higher School of Economics,5635
2518,2518,"National Research, Development and Innovation Office of Hungary",4656
2809,2809,National Resources International,5255
3047,3047,"National Roads Policing Operations, Intelligence and Investigation",5772
5435,5435,National School for Primary Care Research,10167
240,240,National Science Foundation,459
3620,3620,National Science Foundation [USA],6809
280,280,National Scientific and Technical Research Council [ARG],550
4855,4855,National Social Science Foundation of China,9166
5836,5836,National Social Security and Insurance Trust [SLE],10899
885,885,National Society for the Prevention of Cruelty to Children,1628
882,882,National Society for the Prevention of Cruelty to Children [GBR],1620
6355,6355,National Strength and Conditioning Association,11927
5370,5370,National Treatment Agency,10057
