Institution name,Main panel,Unit of assessment number,ICS_GPA
Bournemouth University,C,18.0,3.25
Aberystwyth University / Prifysgol Aberystwyth,A,4.0,1.5
"University of Nottingham, The",A,3.0,3.5629999999999997
University of Bristol,C,19.0,3.5
University of Keele,A,2.0,3.333
University of Keele,A,3.0,3.8
Edinburgh Napier University,C,18.0,2.25
The University of Sheffield,D,30.0,3.25
University of Lincoln,D,28.0,3.0010000000000003
Aberystwyth University / Prifysgol Aberystwyth,D,28.0,2.5
The University of Cumbria,A,3.0,2.5
The University of Reading,B,10.0,3.5
The University of Huddersfield,C,13.0,3.75
Cardiff University / Prifysgol Caerdydd,B,8.0,3.625
University of Bristol,B,7.0,3.5
Edinburgh Napier University,B,7.0,3.5
University of Newcastle upon Tyne,C,23.0,3.5
The University of Hull,B,12.0,3.1659999999999995
Cranfield University,A,6.0,3.75
The University of Leeds,A,3.0,3.6
University of Plymouth,A,1.0,3.5
York St John University,C,17.0,2.25
University of Bristol,A,6.0,4.0
The University of Leicester,B,7.0,3.3329999999999997
Anglia Ruskin University Higher Education Corporation,C,17.0,3.5
University College London,C,22.0,3.25
University of Dundee,C,20.0,3.25
The University of Liverpool,A,4.0,3.8
The University of Bath,A,4.0,3.2
University of Greenwich,A,6.0,3.625
University of Glasgow,B,10.0,3.9
Brunel University London,C,19.0,3.333
London South Bank University,C,20.0,2.9999999999999996
The University of Kent,B,12.0,3.333
York St John University,A,4.0,3.0
Loughborough University,B,9.0,2.75
Sheffield Hallam University,A,3.0,3.3339999999999996
"University of Nottingham, The",B,12.0,3.8179999999999996
University of Sussex,C,20.0,3.25
Loughborough University,A,2.0,2.5
Royal Holloway and Bedford New College,C,20.0,3.5
University of Sussex,D,30.0,3.75
University of Sussex,A,4.0,3.6
University of the West of Scotland,C,23.0,2.25
"University of Nottingham, The",C,19.0,3.25
School of Oriental and African Studies,C,17.0,3.75
University of Wolverhampton,C,23.0,1.6669999999999998
Queen Mary University of London,C,17.0,3.6
University of the Highlands and Islands,D,25.0,4.0
Royal Holloway and Bedford New College,A,5.0,3.333
University of Sussex,C,18.0,3.0
University of the Highlands and Islands,A,3.0,3.5
University of Central Lancashire,D,26.0,3.75
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,C,23.0,2.25
Abertay University,A,6.0,3.0
Sheffield Hallam University,C,24.0,3.8
London South Bank University,B,12.0,2.625
Edge Hill University,C,23.0,3.0010000000000003
Sheffield Hallam University,C,20.0,2.5
University of Exeter,B,11.0,2.3339999999999996
The University of East Anglia,A,6.0,4.0
University of Exeter,C,18.0,3.9
Liverpool Hope University,A,6.0,1.25
University of the West of Scotland,B,7.0,3.0
Brunel University London,C,24.0,3.5
Anglia Ruskin University Higher Education Corporation,C,24.0,2.25
University College London,C,17.0,3.125
University of Wolverhampton,D,26.0,2.75
"University of Nottingham, The",B,11.0,3.5
Oxford Brookes University,A,4.0,4.0
Brunel University London,A,4.0,1.6669999999999998
The London School of Economics and Political Science,C,18.0,3.0
Coventry University,A,4.0,4.0
University of East London,C,17.0,2.5
University of Southampton,C,23.0,3.167
The University of Kent,B,9.0,3.0
University of Wolverhampton,A,4.0,2.5
The University of Huddersfield,D,28.0,3.25
London South Bank University,C,17.0,3.25
York St John University,A,3.0,1.75
Glasgow Caledonian University,C,23.0,2.75
Swansea University / Prifysgol Abertawe,A,4.0,3.0
"Imperial College of Science, Technology and Medicine",A,2.0,3.8329999999999997
University of Northumbria at Newcastle,C,13.0,2.875
University of Hertfordshire,D,30.0,3.0
Leeds Beckett University,B,11.0,2.75
Canterbury Christ Church University,C,23.0,3.0
"University of Nottingham, The",C,20.0,3.625
University of Exeter,D,31.0,4.0
The University of East Anglia,C,19.0,4.0
The London School of Economics and Political Science,C,16.0,3.7
Edge Hill University,C,24.0,3.667
University of Stirling,C,19.0,2.75
Leeds Beckett University,C,23.0,2.0
University of the West of Scotland,A,3.0,2.8329999999999997
University of Worcester,A,3.0,2.5
University of Newcastle upon Tyne,A,6.0,3.25
The London School of Economics and Political Science,D,25.0,3.667
The University of Kent,C,24.0,3.75
York St John University,C,24.0,2.5
The Open University,A,4.0,3.667
The Royal Central School of Speech and Drama,D,33.0,3.8329999999999997
University of Cambridge,C,23.0,3.8
"St Mary's University, Twickenham",C,20.0,2.0
University of Keele,B,11.0,2.75
Sheffield Hallam University,C,23.0,3.25
Nottingham Trent University,C,18.0,3.75
University of Sussex,C,16.0,3.5
The University of Surrey,C,16.0,3.5
"University of the West of England, Bristol",A,3.0,3.375
Coventry University,C,24.0,2.75
Edge Hill University,A,3.0,2.8329999999999997
The University of Leicester,C,18.0,2.625
The University of Essex,C,21.0,3.5
University of Derby,A,3.0,2.375
University of Southampton,C,16.0,3.333
The University of Bolton,C,23.0,1.0
Goldsmiths' College,C,22.0,3.8329999999999997
University of Worcester,C,20.0,2.25
University of Newcastle upon Tyne,C,19.0,2.8339999999999996
The University of East Anglia,C,23.0,3.5
University of Newcastle upon Tyne,A,2.0,3.5
The London School of Economics and Political Science,C,14.0,3.75
University of Sunderland,B,11.0,2.25
The University of Kent,D,30.0,3.5
University of York,C,20.0,3.5
Edinburgh Napier University,B,12.0,2.9999999999999996
University of Lincoln,C,20.0,3.0
"University of the West of England, Bristol",C,23.0,3.75
University College London,C,14.0,3.4
The University of Huddersfield,C,24.0,2.5
The University of Manchester,D,33.0,4.0
University of Cambridge,D,32.0,3.5
University of Central Lancashire,B,12.0,2.75
University of Bristol,C,17.0,3.1670000000000003
Sheffield Hallam University,A,4.0,3.5
"University of Northampton, The",A,4.0,2.5
Cranfield University,C,17.0,3.625
University of Wolverhampton,C,17.0,2.75
The University of Leicester,C,24.0,4.0
Queen Mary University of London,D,33.0,3.25
University of Newcastle upon Tyne,D,28.0,2.625
"University of Nottingham, The",B,8.0,3.375
The University of Westminster,D,27.0,3.333
University of Cambridge,B,7.0,3.625
The Open University,D,31.0,2.75
"University of Northampton, The",D,27.0,2.75
University of Bristol,D,28.0,3.625
Edinburgh Napier University,C,17.0,2.667
Kingston University,B,11.0,2.6670000000000003
University of Keele,C,17.0,2.5
University of South Wales / Prifysgol De Cymru,C,17.0,2.5
University of the Highlands and Islands,C,23.0,1.25
The University of Manchester,C,18.0,3.4
Birmingham City University,C,18.0,2.5
"Solent University, Southampton",C,24.0,2.5
The University of Birmingham,B,7.0,3.667
The University of Leeds,D,28.0,2.75
The University of Essex,D,30.0,3.5
Liverpool Hope University,B,11.0,1.75
University of Newcastle upon Tyne,C,18.0,3.5
Bangor University / Prifysgol Bangor,A,3.0,3.333
Oxford Brookes University,B,12.0,2.333
Swansea University / Prifysgol Abertawe,C,17.0,3.1
University of St Andrews,A,4.0,3.333
The Open University,D,27.0,3.5
"St Mary's University, Twickenham",C,24.0,3.5
The University of Kent,A,2.0,3.5
University of South Wales / Prifysgol De Cymru,B,7.0,3.0
Goldsmiths' College,C,19.0,2.75
"City, University of London",C,16.0,3.1659999999999995
The University of Kent,C,13.0,3.25
Queen Mary University of London,C,16.0,3.375
Aston University,C,21.0,3.0
Liverpool Hope University,D,28.0,2.5
University of St Andrews,D,28.0,3.3
University of Edinburgh,C,16.0,2.8329999999999997
University of Winchester,D,31.0,3.5
University of Ulster,C,24.0,3.5
The University of Warwick,A,4.0,3.667
The University of Liverpool,C,18.0,3.7
University of Sussex,D,33.0,3.5
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,A,3.0,2.5
Coventry University,D,32.0,3.75
University of Northumbria at Newcastle,B,12.0,3.1669999999999994
University of Glasgow,D,34.0,3.5
University of Central Lancashire,D,27.0,3.25
The University of Hull,B,8.0,3.25
University of Keele,D,30.0,2.25
The University of Warwick,B,8.0,3.5
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,D,32.0,3.8329999999999997
University of Greenwich,C,18.0,4.0
Leeds Trinity University,A,4.0,1.0
The University of Warwick,D,32.0,3.5
King's College London,D,33.0,3.8329999999999997
University of Cambridge,C,14.0,3.125
University of Cambridge,B,11.0,3.428
University of Bristol,D,30.0,3.1659999999999995
School of Oriental and African Studies,D,31.0,3.25
University of South Wales / Prifysgol De Cymru,D,33.0,1.75
Bournemouth University,A,4.0,2.75
The University of Kent,C,23.0,3.25
The University of Manchester,C,13.0,3.3329999999999997
Queen's University of Belfast,D,26.0,2.8329999999999997
The University of Lancaster,B,12.0,3.375
The University of Lancaster,B,8.0,2.9999999999999996
University of Stirling,D,28.0,3.5
University of Chester,D,28.0,2.75
King's College London,D,26.0,3.0
The University of Essex,D,26.0,4.0
University of Lincoln,B,9.0,2.75
The University of Leeds,B,9.0,3.667
University of Winchester,D,28.0,2.5
University of York,C,21.0,4.0
The University of Leeds,B,11.0,3.8329999999999997
"City, University of London",D,27.0,3.25
Nottingham Trent University,D,28.0,3.5
The University of Kent,D,33.0,4.0
University of Newcastle upon Tyne,D,33.0,3.5
University of Durham,D,29.0,3.5
De Montfort University,C,13.0,3.5
University of Durham,D,26.0,3.0
University of Aberdeen,B,11.0,3.25
Leeds Beckett University,C,19.0,2.5
"University of Salford, The",B,7.0,3.5
The University of East Anglia,C,20.0,4.0
University of Sussex,D,32.0,3.75
"University of Nottingham, The",A,4.0,3.429
The University of Cumbria,C,23.0,2.25
Queen's University of Belfast,D,30.0,3.5
The London School of Economics and Political Science,D,30.0,3.5
Roehampton University,D,34.0,3.75
Anglia Ruskin University Higher Education Corporation,C,23.0,2.0
Queen's University of Belfast,C,13.0,3.167
University of Plymouth,D,33.0,3.5
University of Aberdeen,A,5.0,3.25
"University of the West of England, Bristol",A,6.0,3.25
University of Worcester,C,14.0,2.25
University of Lincoln,C,14.0,0.75
Heriot-Watt University,B,7.0,2.8329999999999997
The University of Liverpool,B,10.0,3.1
The University of Kent,B,8.0,3.25
University of Plymouth,D,27.0,3.75
Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,B,11.0,2.0
The University of Cumbria,C,20.0,2.25
The London School of Economics and Political Science,C,21.0,3.125
University of Worcester,D,32.0,2.5
University of Wolverhampton,D,28.0,2.75
Loughborough University,C,20.0,3.75
University of Oxford,D,32.0,4.0
University of Durham,C,19.0,2.8339999999999996
Swansea University / Prifysgol Abertawe,B,10.0,4.0
University of York,D,33.0,3.5
Bangor University / Prifysgol Bangor,A,4.0,3.667
Bath Spa University,D,34.0,3.0
Aberystwyth University / Prifysgol Aberystwyth,D,32.0,2.75
"University of Nottingham, The",D,34.0,3.5
University of Southampton,D,33.0,3.25
University of Edinburgh,D,33.0,2.9999999999999996
The University of Leicester,B,8.0,3.25
University of South Wales / Prifysgol De Cymru,B,12.0,2.9999999999999996
Glasgow Caledonian University,D,28.0,2.0
Newman University,D,27.0,1.5
Goldsmiths' College,C,17.0,2.6670000000000003
Edinburgh Napier University,D,33.0,1.0
The University of Essex,A,4.0,3.6
University of Plymouth,D,28.0,3.25
The University of Lancaster,D,27.0,3.167
The University of Chichester,C,24.0,3.1659999999999995
University of Newcastle upon Tyne,C,13.0,3.3
University of the Highlands and Islands,B,7.0,3.5
The University of Manchester,C,23.0,3.8329999999999997
University of Sunderland,C,23.0,2.75
University of Worcester,D,33.0,1.0
The University of Birmingham,B,10.0,3.5
"University of Nottingham, The",D,33.0,3.25
Heriot-Watt University,B,9.0,3.167
University of Aberdeen,C,15.0,3.25
University of Hertfordshire,D,27.0,3.25
University of Chester,C,14.0,1.5
The London School of Economics and Political Science,C,19.0,3.333
The University of East Anglia,D,28.0,3.75
Leeds Beckett University,D,28.0,1.75
"Arts University Bournemouth, the",D,32.0,2.8329999999999997
University of Gloucestershire,D,31.0,1.5
University of Dundee,B,11.0,3.5
Newman University,C,20.0,2.0
Manchester Metropolitan University,D,28.0,2.8329999999999997
Royal Holloway and Bedford New College,A,4.0,4.0
Sheffield Hallam University,B,11.0,2.6670000000000003
The University of Birmingham,D,33.0,3.333
University of Wolverhampton,D,27.0,3.25
Queen's University of Belfast,D,33.0,3.167
The University of Kent,D,26.0,3.3329999999999997
The University of Reading,D,30.0,3.0
University of Ulster,D,32.0,3.667
Edinburgh Napier University,D,27.0,2.75
University of Bristol,C,22.0,3.25
Roehampton University,C,23.0,3.75
The University of Bath,C,24.0,3.875
University of Newcastle upon Tyne,D,27.0,3.875
Aberystwyth University / Prifysgol Aberystwyth,C,17.0,2.75
The Open University,B,10.0,3.333
Canterbury Christ Church University,C,19.0,3.0
York St John University,D,27.0,1.75
The University of Hull,C,19.0,2.5
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,C,23.0,2.75
University of Wolverhampton,C,18.0,3.0
School of Oriental and African Studies,D,32.0,3.5
University of Chester,D,33.0,2.5
Middlesex University,A,4.0,3.667
Royal Northern College of Music,D,33.0,2.25
London Metropolitan University,B,11.0,0.5
The University of Warwick,D,30.0,3.333
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,A,4.0,1.0
"University of Northampton, The",C,23.0,3.5
University of Oxford,D,31.0,3.2
The Open University,C,19.0,2.75
Oxford Brookes University,C,17.0,2.625
The University of Reading,C,18.0,2.8329999999999997
University of Winchester,C,17.0,3.25
The University of Surrey,C,23.0,3.5
The University of Sheffield,A,4.0,3.667
Aberystwyth University / Prifysgol Aberystwyth,C,18.0,3.75
University of Sussex,B,8.0,3.75
University of East London,B,12.0,2.75
Queen's University of Belfast,C,15.0,3.25
University of Aberdeen,B,8.0,3.5
The University of Liverpool,D,30.0,3.75
The University of Essex,A,2.0,2.75
The Royal Academy of Music,D,33.0,2.0
Bishop Grosseteste University,D,31.0,1.25
The University of Reading,D,32.0,3.5
University of Gloucestershire,A,4.0,0.5
Canterbury Christ Church University,D,31.0,3.25
Anglia Ruskin University Higher Education Corporation,C,13.0,1.75
University of Bedfordshire,C,23.0,1.75
University of Durham,D,31.0,3.5
University of Exeter,A,3.0,3.5
University of Brighton,C,23.0,3.25
Liverpool Hope University,D,31.0,3.5
University of St Andrews,D,31.0,3.0
University of Lincoln,B,8.0,3.0
University of Plymouth,C,20.0,3.75
"Queen Margaret University, Edinburgh",A,4.0,3.0
Liverpool School of Tropical Medicine,A,1.0,3.9
The Open University,B,7.0,3.3329999999999997
Middlesex University,C,14.0,3.5
The University of Warwick,C,16.0,3.8
"University of Nottingham, The",C,18.0,3.5
Birkbeck College,C,21.0,3.25
Newman University,D,31.0,1.75
Royal Holloway and Bedford New College,D,26.0,3.75
Birmingham City University,C,23.0,2.75
Goldsmiths' College,C,20.0,3.75
"University of Nottingham, The",C,24.0,3.0
De Montfort University,D,28.0,2.25
"University of Salford, The",C,20.0,3.75
Birkbeck College,D,28.0,3.375
University of Edinburgh,D,31.0,2.6670000000000003
The University of Surrey,D,27.0,3.75
The University of Huddersfield,C,18.0,1.75
University of Aberdeen,D,27.0,2.333
Bournemouth University,C,17.0,3.0
Edge Hill University,D,34.0,3.5
University of Exeter,C,15.0,3.25
University of Aberdeen,C,22.0,3.0
The University of Leicester,C,15.0,4.0
The University of Leeds,C,18.0,4.0
Manchester Metropolitan University,B,12.0,3.75
University of Hertfordshire,C,23.0,2.25
York St John University,D,28.0,1.5
University of Dundee,D,28.0,2.0
University of Aberdeen,C,23.0,2.5
University of Plymouth,B,11.0,1.5
Swansea University / Prifysgol Abertawe,C,18.0,2.8329999999999997
Nottingham Trent University,C,20.0,2.25
Oxford Brookes University,C,19.0,2.9999999999999996
The University of Sheffield,D,25.0,3.25
Robert Gordon University,D,34.0,2.75
The University of Leeds,D,34.0,3.0
Brunel University London,C,21.0,3.0
The University of Liverpool,C,19.0,3.667
"Queen Margaret University, Edinburgh",A,2.0,3.0
The University of Birmingham,C,23.0,4.0
The University of Sheffield,C,15.0,2.75
University of Southampton,D,32.0,3.25
The University of Surrey,D,25.0,3.25
The University of Lancaster,B,11.0,3.75
University of East London,A,3.0,2.6670000000000003
University of Ulster,C,18.0,3.25
The University of Bradford,C,17.0,3.1659999999999995
The University of Leicester,C,21.0,2.75
University of Dundee,B,10.0,3.25
The University of West London,D,33.0,3.5
The University of Birmingham,B,12.0,3.7220000000000004
Royal Holloway and Bedford New College,B,12.0,2.75
University of Lincoln,B,12.0,3.0
The University of Kent,B,10.0,2.9999999999999996
The University of Hull,C,24.0,3.75
University of Newcastle upon Tyne,D,29.0,2.75
"University of Salford, The",D,34.0,3.5
The University of Bolton,A,3.0,0.5
Roehampton University,D,28.0,2.75
University of Sunderland,B,12.0,2.25
Staffordshire University,C,17.0,3.5
Glasgow Caledonian University,C,20.0,2.5
University of Glasgow,C,13.0,3.5
The University of Birmingham,D,25.0,3.0
University of Derby,B,7.0,3.25
University of Lincoln,C,13.0,2.25
University of Southampton,C,15.0,3.75
The University of West London,C,24.0,2.0
Canterbury Christ Church University,D,28.0,3.0
Liverpool Hope University,C,24.0,1.75
Liverpool Hope University,D,27.0,2.25
University of Aberdeen,D,31.0,3.75
"Queen Margaret University, Edinburgh",A,3.0,3.75
Birkbeck College,D,30.0,2.0
University of York,C,18.0,3.3339999999999996
University of East London,C,20.0,3.0
The University of Sheffield,B,9.0,3.8329999999999997
York St John University,D,31.0,1.5
"University of Nottingham, The",D,31.0,3.75
University of Bristol,D,29.0,3.25
University of Keele,B,9.0,3.0
The University of Hull,D,28.0,4.0
University of Brighton,B,11.0,3.5
Canterbury Christ Church University,D,33.0,3.0
The University of Essex,D,33.0,2.75
University of Glasgow,D,30.0,3.25
The University of Hull,C,23.0,3.5
Canterbury Christ Church University,A,4.0,3.333
The University of Bradford,C,15.0,3.25
The University of Birmingham,D,31.0,4.0
Nottingham Trent University,D,32.0,3.5
The University of Birmingham,C,18.0,3.375
Leeds Arts University,D,33.0,0.75
University of Bristol,C,16.0,3.5
University of Ulster,D,28.0,2.75
University of Portsmouth,A,3.0,3.0
University of Portsmouth,A,4.0,3.75
University of Portsmouth,B,7.0,3.5
University of Portsmouth,B,9.0,3.75
University of Portsmouth,B,10.0,3.25
University of Portsmouth,B,11.0,3.3329999999999997
University of Portsmouth,B,12.0,2.625
University of Portsmouth,C,14.0,2.25
University of Portsmouth,C,17.0,3.429
University of Portsmouth,C,18.0,2.5
University of Portsmouth,C,20.0,3.0
University of Portsmouth,C,24.0,4.0
University of Portsmouth,D,25.0,3.5
University of Portsmouth,D,27.0,3.333
University of Portsmouth,D,32.0,3.167
University of Portsmouth,D,33.0,2.5
University of Exeter,C,24.0,4.0
University of South Wales / Prifysgol De Cymru,D,28.0,3.5
"University of Nottingham, The",D,30.0,2.75
Sheffield Hallam University,D,34.0,3.1659999999999995
Heriot-Watt University,A,4.0,2.5
