Institution name,Main panel,Unit of assessment number,ICS_GPA
Brunel University London,D,33.0,2.3329999999999997
The University of Reading,D,26.0,3.5
University of Durham,C,17.0,3.5
The University of Reading,C,23.0,2.75
The University of Warwick,A,2.0,3.6670000000000003
London South Bank University,C,24.0,2.75
Cardiff University / Prifysgol Caerdydd,D,27.0,3.9
University of York,D,32.0,4.0
Bangor University / Prifysgol Bangor,C,24.0,3.75
The University of Kent,C,20.0,3.8329999999999997
University of Northumbria at Newcastle,C,18.0,3.25
Cardiff University / Prifysgol Caerdydd,C,13.0,3.667
University of Stirling,A,6.0,4.0
The University of Sheffield,C,23.0,4.0
The University of Liverpool,D,26.0,3.8329999999999997
The University of Reading,C,22.0,3.75
The University of Birmingham,A,5.0,3.4
University of Durham,C,24.0,3.75
Swansea University / Prifysgol Abertawe,C,19.0,3.333
"University of Nottingham, The",C,22.0,3.0
Bournemouth University,C,20.0,2.167
The University of Bath,C,19.0,3.167
The University of Birmingham,C,22.0,3.75
The University of Leeds,C,19.0,3.375
Royal Holloway and Bedford New College,C,19.0,3.5
University of Edinburgh,D,28.0,3.25
Teesside University,A,3.0,3.2
The University of Birmingham,D,30.0,3.5
The University of Birmingham,D,29.0,3.0
"University of Nottingham, The",A,6.0,3.1669999999999994
The University of Huddersfield,D,34.0,3.25
University College London,D,25.0,4.0
Nottingham Trent University,A,4.0,3.6
The University of Essex,C,16.0,3.2
University of Winchester,C,24.0,2.25
University of Central Lancashire,A,4.0,3.0
University of Glasgow,C,14.0,4.0
York St John University,D,33.0,3.25
The University of Lancaster,C,18.0,3.875
The University of Sheffield,A,2.0,3.8329999999999997
Nottingham Trent University,C,24.0,3.0
The University of Westminster,C,18.0,2.8329999999999997
The University of Hull,A,3.0,3.8
The University of Sheffield,D,26.0,2.9999999999999996
The University of Bath,B,10.0,3.3
The University of Sheffield,C,18.0,2.9999999999999996
Kingston University,C,17.0,2.75
De Montfort University,C,20.0,3.333
Leeds Beckett University,A,3.0,3.1659999999999995
University of Ulster,A,4.0,3.667
University of Oxford,C,23.0,4.0
University of Dundee,C,23.0,2.5
Abertay University,B,12.0,3.167
The University of Reading,C,13.0,3.6
University of Hertfordshire,A,3.0,3.6670000000000003
The University of Essex,C,17.0,3.056
Brunel University London,C,16.0,2.25
The University of Sheffield,C,21.0,2.875
University of Winchester,D,33.0,2.75
Stranmillis University College,C,23.0,2.25
"City, University of London",A,3.0,3.667
Bath Spa University,D,27.0,3.1659999999999995
The University of Sheffield,D,28.0,2.625
The University of Manchester,D,27.0,3.75
Liverpool Hope University,D,32.0,1.5
The University of Warwick,D,29.0,3.75
Cardiff University / Prifysgol Caerdydd,D,26.0,3.667
Royal Holloway and Bedford New College,B,7.0,2.6670000000000003
The University of East Anglia,D,34.0,3.3329999999999997
University of Bedfordshire,C,24.0,2.75
Royal Holloway and Bedford New College,C,16.0,3.3329999999999997
Leeds Beckett University,C,13.0,2.8339999999999996
University of Dundee,C,14.0,3.5
Abertay University,A,4.0,2.5
University of Bristol,C,18.0,3.8
University of Ulster,C,14.0,3.5
University of Brighton,A,3.0,3.389
"Queen Margaret University, Edinburgh",C,17.0,2.25
London Metropolitan University,D,25.0,3.667
Bournemouth University,D,34.0,3.667
University of York,D,30.0,4.0
Abertay University,C,18.0,1.5
"University of the West of England, Bristol",C,18.0,3.5
The University of Surrey,C,18.0,1.6669999999999998
Anglia Ruskin University Higher Education Corporation,D,33.0,4.0
The University of Hull,C,17.0,3.0
"University of Northampton, The",A,5.0,2.0
The University of Birmingham,A,1.0,3.5909999999999997
Abertay University,C,21.0,2.25
University of Brighton,D,34.0,3.1
Roehampton University,A,4.0,3.667
University of Central Lancashire,A,3.0,3.0
Bath Spa University,A,4.0,2.0
University of Durham,A,5.0,3.125
The University of Reading,C,19.0,3.0
University of Plymouth,A,4.0,3.5
University of York,C,16.0,3.375
University of Gloucestershire,D,28.0,1.0
University of York,B,10.0,3.375
The University of Liverpool,B,8.0,3.875
University of East London,C,23.0,2.25
University of Bristol,A,1.0,3.7140000000000004
Liverpool Hope University,C,20.0,2.333
The University of Birmingham,D,28.0,3.25
"Queen Margaret University, Edinburgh",D,26.0,3.0
Oxford Brookes University,A,3.0,2.8329999999999997
King's College London,D,34.0,3.8
University of Glasgow,A,3.0,3.5
King's College London,D,31.0,3.5
University College London,C,15.0,3.4
"University of Nottingham, The",D,27.0,3.75
University of Durham,D,28.0,3.3
The University of Westminster,C,19.0,3.8329999999999997
The Open University,C,18.0,2.6670000000000003
University College London,D,29.0,3.5
University of Edinburgh,C,21.0,3.3329999999999997
University of Exeter,B,10.0,3.875
University of Lincoln,D,32.0,3.25
"Imperial College of Science, Technology and Medicine",B,9.0,3.444
The University of Manchester,C,14.0,3.125
University of Exeter,B,7.0,3.75
The University of Manchester,D,30.0,3.75
Institute of Cancer Research: Royal Cancer Hospital (The),A,1.0,3.667
