id,ics_table_id,country
845,130,NLD
846,130,CYP
847,130,ZAF
848,131,GBR
849,132,GBR
850,133,GBR
851,134,GBR
852,134,USA
853,134,AUT
854,134,BEL
855,134,BGR
856,134,HRV
857,134,CYP
858,134,CZE
859,134,DNK
860,134,EST
861,134,FIN
862,134,FRA
863,134,DEU
864,134,GRC
865,134,HUN
866,134,IRL
867,134,ITA
868,134,LVA
869,134,LTU
870,134,LUX
871,134,MLT
872,134,NLD
873,134,POL
874,134,PRT
875,134,ROU
876,134,SVK
877,134,SVN
878,134,ESP
879,134,SWE
880,135,GBR
881,135,IRL
882,135,ROU
883,135,ALB
884,136,GBR
885,136,PRT
886,138,GBR
887,138,USA
888,138,QAT
889,138,JOR
890,138,AUT
891,138,BEL
892,138,BGR
893,138,HRV
894,138,CYP
895,138,CZE
896,138,DNK
897,138,EST
898,138,FIN
899,138,FRA
900,138,DEU
901,138,GRC
902,138,HUN
903,138,IRL
904,138,ITA
905,138,LVA
906,138,LTU
907,138,LUX
908,138,MLT
909,138,NLD
910,138,POL
911,138,PRT
912,138,ROU
913,138,SVK
914,138,SVN
915,138,ESP
916,138,SWE
917,139,CUB
918,140,GBR
919,140,CHE
920,140,SWE
921,140,BGR
922,140,FIN
923,140,DEU
924,140,HUN
925,140,ITA
926,140,LVA
927,140,LTU
928,140,POL
929,141,GBR
930,142,CYP
931,142,EST
932,142,HUN
933,142,ITA
934,142,NLD
935,142,DEU
936,142,CHE
937,142,ESP
938,143,GBR
939,144,GBR
940,145,GBR
941,146,GBR
942,147,GBR
943,148,GBR
944,149,GBR
945,150,GBR
946,151,GBR
947,152,GBR
948,152,ZAF
949,152,ITA
950,153,GBR
951,153,AUT
952,153,IRL
953,153,DEU
954,153,IDN
955,154,GBR
956,155,GBR
957,155,AUT
958,155,BEL
959,155,BGR
960,155,HRV
961,155,CYP
962,155,CZE
963,155,DNK
964,155,EST
965,155,FIN
966,155,FRA
967,155,DEU
968,155,GRC
969,155,HUN
970,155,IRL
971,155,ITA
972,155,LVA
973,155,LTU
974,155,LUX
975,155,MLT
976,155,NLD
977,155,POL
978,155,PRT
979,155,ROU
980,155,SVK
981,155,SVN
982,155,ESP
983,155,SWE
984,157,GBR
985,159,GBR
986,159,IRL
987,160,GBR
988,160,JEY
989,160,IRL
990,160,GGY
991,161,GBR
992,162,GBR
993,163,GBR
994,163,CZE
995,163,FRA
996,163,HUN
997,163,CHE
998,163,CHN
999,164,GBR
1000,164,AUT
1001,164,BEL
1002,164,BGR
1003,164,HRV
1004,164,CYP
1005,164,CZE
1006,164,DNK
1007,164,EST
1008,164,FIN
1009,164,FRA
1010,164,DEU
1011,164,GRC
1012,164,HUN
1013,164,IRL
1014,164,ITA
1015,164,LVA
1016,164,LTU
1017,164,LUX
1018,164,MLT
1019,164,NLD
1020,164,POL
1021,164,PRT
1022,164,ROU
1023,164,SVK
1024,164,SVN
1025,164,ESP
1026,164,SWE
1027,165,GBR
1028,166,IRL
1029,166,GBR
1030,166,COL
1031,167,GBR
1032,167,IRL
1033,167,ZAF
1034,167,PHL
1035,168,DEU
1036,168,GBR
1037,169,GBR
1038,169,USA
1039,169,CAN
1040,169,JPN
1041,169,DEU
1042,169,AUS
1043,174,GBR
1044,174,IRL
1045,176,GBR
1046,177,GBR
1047,177,USA
1048,177,AUT
1049,177,BEL
1050,177,BGR
1051,177,HRV
1052,177,CYP
1053,177,CZE
1054,177,DNK
1055,177,EST
1056,177,FIN
1057,177,FRA
1058,177,DEU
1059,177,GRC
1060,177,HUN
1061,177,IRL
1062,177,ITA
1063,177,LVA
1064,177,LTU
1065,177,LUX
1066,177,MLT
1067,177,NLD
1068,177,POL
1069,177,PRT
1070,177,ROU
1071,177,SVK
1072,177,SVN
1073,177,ESP
1074,177,SWE
1075,178,GBR
1076,178,USA
1077,178,AUT
1078,178,BEL
1079,178,BGR
1080,178,HRV
1081,178,CYP
1082,178,CZE
1083,178,DNK
1084,178,EST
1085,178,FIN
1086,178,FRA
1087,178,DEU
1088,178,GRC
1089,178,HUN
1090,178,IRL
1091,178,ITA
1092,178,LVA
