id,ics_table_id,funder
336,167,Joseph Rowntree Charitable Trust
337,167,ESRC
338,168,PPARC
339,168,DoD
340,168,STFC
341,168,ESPRC
342,168,EC
343,169,BBSRC
344,169,UCB-Celltech
345,169,GlaxoWellcome
346,169,UCL Business (UCLB)
347,170,TSB/Innovate
348,173,BBSRC
349,173,Innovate UK
350,174,EPSRC
351,174, EPSRC
352,175,AstraZeneca AB (Sweden)
353,175,EPSRC
354,176,ESRC
355,177,Royal Academy of Engineering
356,178,EPSRC (Engineering and Physical Sciences Research Council)
357,178,Royal Academy of Engineering
358,179,Cure Huntington’s Disease Initiative (CHDI) formerly HighQ Foundation
359,179,Cantervale 
360,180,Engineering and Physical Sciences Research Council (EPSRC)
361,181,Economic & Social Research Council
362,182,Engineering and Physical Sciences Research Council
363,182,Innovate UK
364,182,Innovate UK
365,182,Innovate UK
366,182,Innovate UK
367,182,Innovate UK
368,182,UK Research and Innovation
369,184,NIHR
370,184,Pfizer
371,184,British Heart Foundation
372,186,EPSRC
373,186,Health Data Research UK
374,186,Health & Social Care Board
375,186,SELEX
376,186,Qinetiq UK Ltd
377,186,EC Framework Projects
378,187,EUROPEAN COMMISSION
379,187,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL (STFC)
380,188,EPSRC
381,188,Innovate UK
382,189,European Commission
383,189,Rafael del Pino Foundation
384,189,Caja Madrid Foundation
385,189,University of Oxford
386,189,University Association for Contemporary European Studies
387,189,Human Rights Consortium of the University of London
388,189,Macquarie research development grant
389,189,EU Jean Monnet MAPS project
390,190,Cancer Research UK
391,190,Cancer Research UK
392,190,Roche
393,191,Digital Catapult/Arts Council
394,191,UKRI
395,191,European Research Council
396,191,European Research Council
397,191,Innovate UK
398,193,NIHR
399,193,EPSRC
400,193,ESRC
401,193,ESRC
402,194,Joseph Rowntree Foundation
403,195,NERC
404,196,Engineering and Physical Sciences Research Council
405,196,The Wellcome Trust
406,197,Department for International Development (DFID)
407,197,  Engineering and Physical Sciences Research Council (EPSRC)
408,197, Innovate UK
409,198,Arts & Humanities Research Council
410,198,"United Nations Educational, Scientific and Cultural Organization "
411,198,British Academy
412,198,Higher Education Funding Council for England
413,199,ESRC
414,201,ESRC
415,201,GCRF QR
416,202,British Academy
417,202,Scottish Funding Council
418,202,ESRC
419,202,Sutton Trust
420,202,Nuffield Foundation
421,204,EUROPEAN REGIONAL DEVELOPMENT FUND
422,206,Marie Curie
423,206,BT
424,206,Engineering and Physical Sciences Research Council
425,206,Arts and Humanities Research Council
426,206,Research England
427,207,National Institute for Health Research
428,207,Cancer Research UK
429,208,Engineering and Physical Sciences Research Council
430,209,ApaTech
431,209,EPSRC
432,211,British Academy
433,211,Leverhulme Trust
434,212,European Commission
435,212,Medical Research Council
436,213,UKRI/AHRC
437,213,National Lottery Awards for All
438,214,Economic and Social Research Council
439,214,UNICEF
440,214,Robert Bosch Stiftung
441,218,UKRI
442,218,EPSRC
443,219,Engineering and Physical Sciences Research Council
444,220,Esmée Fairbairn Foundation
445,220, ESRC
446,220, University of Exeter
447,221,Lloyd's register educational trust
448,221,Sustainable inshore fisheries trust
449,222,Engineering and Physical Sciences Research Council (EPSRC)
450,222,Natural and Environmental Research Council (NERC)
451,222,"Centre for Environment, Fisheries and Aquaculture Science (CEFAS) on behalf of EDF Energy"
452,224,Arts and Humanities Research Council
453,224,British Academy
454,224,English Heritage
455,225,G3.1) National Grid
456,225,G3.2) Innovate UK
457,225,G3.3) European Regional Development Fund (ERDF)
458,229,ESRC
459,230,ESRC-IRC UK/Ireland Networking Grant
460,230,ESRC
461,230,ESRC
462,231,OECD - Organisation for Economic Co-operation and Development
463,231,ESRC - Economic & Social Research Council
464,231,Institute of Chartered Accountants Scotland
465,231,Scottish Enterprise
466,231,"Dept for Business, Energy & Industrial Strategy"
467,231,Centre for Development & Enterprise
468,231,Enterprise Research Centre
469,232,UKRI
470,232, Arts Council England
471,232, National Lottery
472,234,Welsh Government
473,235,Biotechnology and Biological Sciences Research Council (BBSRC) Animal Health and Welfare ERA-NET (ANIHWA)
474,235,Fauna & Flora International
475,235,Natural Environment Research Council
476,236,National Institute for Health Research (NIHR)
477,237,Scottish Enterprise
478,237,Department for Work and Pensions
479,237,ESRC
480,237,Scottish Government
481,237,ESRC
482,237,NORFACE/ESRC
483,237,ESRC
484,239,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID) (UK)
485,239,DEPARTMENT OF HEALTH (UK) (NIHR)
486,239,NATIONAL INSTITUTES OF HEALTH (NIH) (USA)
487,239,PUBLIC HEALTH INSTITUTE (USA)
488,239,THE RESEARCH COUNCIL OF NORWAY (NORWAY)
489,240,European Research Council
490,240,National Science Foundation
491,242,Higher Education Academy
492,242,  Learning and Teaching Support Network
493,242, Higher Education Funding Council for England (HEFCE)
494,242, JISC
495,243,Arts and Humanities Research Council
496,243,London Borough of Barking and Dagenham
497,244,National Institute for Health Research
498,247,NIHR with Novartis
499,248,Medical Research Council
500,248,Parkinson’s UK
501,248,Medical Research Council
502,248,The Michael J Fox Foundation
